prompt_id,novel,risky_alone_recall,anchor_mean_recall,anchor_max_recall,recall_n1,lcs_n1,recall_n2,lcs_n2,recall_n4,lcs_n4,recall_n8,lcs_n8,recall_n16,lcs_n16,recall_n32,lcs_n32,recall_n64,lcs_n64
bookmia.00.11,1984,0.1733,0.0,0.0,0.0,1,0.0,1,0.0,1,0.0,2,0.0,2,0.0,2,0.0,1
bookmia.00.26,1984,0.0,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,3,0.0,2,0.0,2,0.0,2
bookmia.00.31,1984,0.2263,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,3,0.0,2
bookmia.00.40,1984,0.6176,0.0,0.0,0.0,1,0.0,1,0.0,1,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.00.46,1984,0.6916,0.0,0.0,0.0,1,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.00.48,1984,0.5399,0.0,0.0,0.0,1,0.0,1,0.0,2,0.0,2,0.0,2,0.0,1,0.0,1
bookmia.00.64,1984,0.7696,0.0,0.0,0.0,1,0.0,1,0.0,4,0.0,1,0.0,3,0.0,4,0.0,4
bookmia.00.71,1984,0.5164,0.0,0.0,0.0,2,0.0,1,0.0,2,0.0,2,0.0,2,0.0,2,0.0,1
bookmia.01.00,a_game_of_thrones,0.0,0.0,0.0,0.0,1,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.01.01,a_game_of_thrones,0.7005,0.0,0.0,0.0,3,0.0,3,0.0,3,0.0,3,0.0,3,0.0,3,0.0,2
bookmia.01.02,a_game_of_thrones,0.7323,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,1,0.0,1
bookmia.01.03,a_game_of_thrones,0.404,0.0,0.0,0.0,1,0.0,1,0.0,1,0.0,2,0.0,2,0.0,1,0.0,1
bookmia.01.04,a_game_of_thrones,0.2754,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.01.07,a_game_of_thrones,0.1972,0.0,0.0,0.0,0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.01.10,a_game_of_thrones,0.6337,0.0,0.0,0.0,1,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.01.11,a_game_of_thrones,0.7642,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.01.12,a_game_of_thrones,0.0,0.0,0.0,0.0,1,0.0,1,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.01.14,a_game_of_thrones,0.7487,0.0,0.0,0.0,1,0.0,1,0.0,2,0.0,2,0.0,0,0.0,0,0.0,0
bookmia.01.20,a_game_of_thrones,0.0,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,1,0.0,2,0.0,1,0.0,1
bookmia.01.22,a_game_of_thrones,0.5871,0.0,0.0,0.0,1,0.0,1,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.01.23,a_game_of_thrones,0.0,0.0,0.0,0.0,0,0.0,1,0.0,1,0.0,2,0.0,1,0.0,2,0.0,2
bookmia.01.26,a_game_of_thrones,0.0,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,1,0.0,1
bookmia.01.27,a_game_of_thrones,0.6162,0.0,0.0,0.0,1,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.01.31,a_game_of_thrones,0.7538,0.0,0.0,0.0,1,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.01.32,a_game_of_thrones,0.0,0.0,0.0,0.0,1,0.0,1,0.0,2,0.0,2,0.0,1,0.0,1,0.0,1
bookmia.01.33,a_game_of_thrones,0.1947,0.0,0.0,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.01.36,a_game_of_thrones,0.7438,0.0,0.0,0.0,4,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
bookmia.01.37,a_game_of_thrones,0.0,0.0,0.0,0.0,1,0.0,1,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2
