judge,selector,n,kl_nats,n_prompts,u,u_lo95,u_hi95,gain,gain_lo95,gain_hi95,mean_words,spearman_u_logn
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.309,0.277,0.34,0.0,0.0,0.0,71.7,0.8571
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.3,0.267,0.332,-0.009,-0.04,0.02,72.5,0.8571
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.311,0.277,0.343,0.002,-0.033,0.036,72.5,0.8571
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.342,0.307,0.376,0.033,-0.004,0.07,72.5,0.8571
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.364,0.331,0.399,0.055,0.016,0.093,72.7,0.8571
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.343,0.31,0.376,0.034,-0.002,0.071,72.3,0.8571
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.355,0.321,0.388,0.046,0.008,0.083,71.2,0.8571
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.226,0.188,0.264,0.0,0.0,0.0,71.7,0.7857
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.242,0.206,0.28,0.016,-0.014,0.046,72.5,0.7857
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.216,0.182,0.252,-0.01,-0.04,0.022,72.5,0.7857
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.234,0.198,0.27,0.008,-0.026,0.042,72.5,0.7857
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),16,1.8351,500,0.269,0.23,0.307,0.043,0.005,0.082,72.7,0.7857
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),32,2.497,500,0.3,0.262,0.339,0.074,0.034,0.113,72.3,0.7857
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),64,3.1745,500,0.29,0.251,0.331,0.064,0.023,0.106,71.2,0.7857
