arm,n_passages,blocked_steps,nv_recall_mean,nv_recall_max,lcs_word_mean,rouge_l_mean,rouge_ge_0p3_count,rouge_ge_0p5_count,ge_0p01_pct
-1,100,0,0.4192,0.8307,73.89,0.5474,78,52,84.0
memfree,100,207,0.0201,0.25,7.86,0.2027,5,0,14.0
