subset,n,member_of,mean,sd,cv_pct,span,lo,hi
all_nine,9,,0.971367,0.096704,9.9554,0.2874,0.8784,1.1658
adversary_holds_gt10_words,5,,0.90068,0.021196,2.3534,0.0477,0.8784,0.9261
adversary_holds_le10_words,4,,1.059725,0.074842,7.0624,0.1725,0.9933,1.1658
family_mean_gap,9,,0.159045,,,0.159045,0.90068,1.059725
reseed_pleias12b_copybench,3,Pleias-1.2B,0.850867,0.045031,5.2924,0.0795,0.7989,0.8784
reseed_kl3m520m_copybench,3,KL3M-520M,1.040333,0.017957,1.7261,0.0333,1.0198,1.0531
