pair,anchor,n_passages,n_windows,passage_q10,passage_median,window_q10,window_median,window_q10_over_passage_median,onset_single,F_passage_at_onset,onset_oracle,F_window_at_oracle_onset
TinyComma-1.8B + memorised Llama-3.1-8B,jacquelinehe/tinycomma-1.8b-llama3-tokenizer,100,485,2.924,3.2386,2.6835,3.2198,0.8286,2.8727,0.07,2.0501,0.0
Comma-7B + memorised Comma-7B,common-pile/comma-v0.1-2t,100,556,2.1614,2.3935,1.9188,2.3925,0.8017,2.134,0.09,1.5726,0.009
Pleias-350M + mem. Pleias-350M,PleIAs/Pleias-350m-Preview,100,498,3.2321,3.5544,2.9546,3.5324,0.8313,3.1796,0.05,2.4729,0.006
Pleias-1.2B + mem. Pleias-1.2B,PleIAs/Pleias-1.2b-Preview,100,498,2.8944,3.2094,2.65,3.1884,0.8257,2.819,0.03,2.0255,0.002
KL3M-1.7B + mem. KL3M-1.7B,alea-institute/kl3m-003-1.7b,100,1109,2.0018,2.2112,1.7241,2.1772,0.7797,2.578,0.98,2.5138,0.7809
KL3M-520M + mem. KL3M-520M,alea-institute/kl3m-002-520m,100,1109,2.173,2.4148,1.8852,2.3476,0.7807,2.5429,0.83,2.7083,0.7836
Phi-3.5-mini + mem. Phi-3.5-mini,microsoft/Phi-3.5-mini-instruct,100,525,2.56,2.8438,2.1869,2.7973,0.769,2.6277,0.23,,
open-calm-1b + mem. open-calm-1b,output/phase5/anchor_opencalm1b,100,770,3.1406,3.3628,2.8599,3.3448,0.8505,3.4524,0.67,,
open-calm-3b + mem. open-calm-3b,output/phase5/anchor_opencalm3b,100,770,3.1565,3.3792,2.859,3.3812,0.846,3.357,0.49,,
