k,n,feasible_pct,feasible_eta_pct,pred_frac_mean,paid_frac_mean,forced_open_mean,recall_mean,recall_ge_0p5_pct,recall_ge_0p8_pct
0.15,100,0,0,0.0,0.0767,15.86,,,
0.5,100,0,0,0.0,0.1421,8.46,,,
1,100,0,0,0.0,0.2256,5.45,,,
3,100,0,20.0,0.4769,0.8228,1.57,,,
5,100,44.0,80.0,0.9943,0.997,0.58,,,
10,100,97.0,100,0.9999,0.9999,0.03,,,
20,100,100,100,1.0,1.0,0,,,
