k,K,split,n_traj,delta_init_mean,delta_init_max,delta_gt_k,lead_forced_mean,lead_forced_max,pred_floor_delta_over_k_mean,lead_forced_eq_pred
1.0,200.0,attack_train,999,6.216,10.535,999,5.665,10,5.687,993
1.0,200.0,creative,1500,3.449,6.216,1500,2.715,6,2.947,1312
1.0,200.0,factual,1500,4.102,6.827,1500,3.579,6,3.62,1478
1.0,200.0,neutral,2000,2.635,5.453,2000,1.915,5,2.12,1666
1.0,200.0,test,1500,5.812,9.637,1500,5.317,9,5.34,1492
1.0,200.0,val,1500,5.286,8.328,1500,4.746,8,4.753,1495
3.0,600.0,attack_train,1000,6.219,10.535,1000,1.538,3,1.54,998
3.0,600.0,creative,1500,3.449,6.216,970,1.048,200,0.653,1492
3.0,600.0,factual,1500,4.103,6.827,1420,0.967,2,0.967,1500
3.0,600.0,neutral,2000,2.635,5.453,465,0.531,200,0.233,1997
3.0,600.0,test,1500,5.812,9.637,1490,1.425,3,1.427,1497
3.0,600.0,val,1500,5.286,8.328,1500,1.247,2,1.247,1500
5.0,1000.0,attack_train,1000,6.219,10.535,800,0.81,2,0.81,1000
5.0,1000.0,creative,1500,3.449,6.216,80,0.053,1,0.053,1500
5.0,1000.0,factual,1500,4.103,6.827,180,0.12,1,0.12,1500
5.0,1000.0,neutral,2000,2.635,5.453,30,0.015,1,0.015,2000
5.0,1000.0,test,1500,5.812,9.637,1100,0.733,1,0.733,1500
5.0,1000.0,val,1500,5.286,8.328,830,0.553,1,0.553,1500
