point,run,n_grid,k_minus1_recall,k_zero_recall,entered,s_x,onset_lo,onset_hi,onset,ratio,grid
seed=1,output/phase5/finec_pleias12b_s1,9,0.9615,0.0,True,3.2094,2.8,2.9,2.8093,0.8753,2:0.002 2.4:0.003 2.6:0.003 2.7:0.005 2.8:0.009 2.9:0.024 3:0.011 3.2:0.015 3.6:0.073
seed=2,output/phase5/finec_pleias12b_s2,9,0.9448,0.0,True,3.2094,2.4,2.6,2.5641,0.7989,2:0.003 2.4:0.007 2.6:0.011 2.7:0.007 2.8:0.008 2.9:0.019 3:0.018 3.2:0.041 3.6:0.060
seed=0 (the table's own),output/phase5/fine_pleias12b,9,0.9091,0.0,True,3.2094,2.8,2.9,2.819,0.8784,2:0.002 2.4:0.003 2.6:0.004 2.7:0.004 2.8:0.008 2.9:0.020 3:0.035 3.2:0.044 3.6:0.071
