band,k,d3,lo95,hi95,verdict,h2h_reading
B1 binding,1.0,0.104,0.085,0.123,WITH OURS,REVERSAL CONFIRMED
B2 vacuous,10.0,0.0885,0.0735,0.1035,WITH OURS,REVERSAL CONFIRMED
