n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,rouge_l_mean,rouge_ge_0p3_pct,rouge_ge_0p5_pct,ge_0p01_pct
1,0.0,100,0.224,0.3947,47.53,0.3895,68.0,45.0,75.0
8,1.2044,100,0.313,0.4145,63.47,0.4772,90.0,67.0,96.0
64,3.1745,100,0.344,0.4145,69.53,0.511,99.0,81.0,100.0
256,4.5491,100,0.3512,0.4145,70.76,0.5179,99.0,85.0,100.0
-1,,100,0.4209,0.8307,,0.5533,75.0,55.0,81.0
