n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,rouge_l_mean,rouge_ge_0p3_pct,rouge_ge_0p5_pct,ge_0p01_pct
1,0.0,100,0.6607,0.8186,133.12,0.7741,94.0,88.0,97.0
8,1.2044,100,0.7266,0.8186,148.18,0.8374,99.0,99.0,99.0
64,3.1745,100,0.7287,0.8186,148.95,0.839,99.0,99.0,99.0
256,4.5491,100,0.7268,0.8186,148.54,0.8378,99.0,99.0,99.0
-1,,100,0.4209,0.8307,,0.5533,75.0,55.0,81.0
