pair,prompt_id,n_tokens,kbar,plug_in,kbar_gt_plug
TinyComma-1.8B + mem. Llama-3.1-8B,bookmia.07.17,58,3.4466,3.32408,1
TinyComma-1.8B + mem. Llama-3.1-8B,bookmia.07.20,58,3.74067,3.75019,0
TinyComma-1.8B + mem. Llama-3.1-8B,bookmia.07.24,56,2.37731,2.41042,0
TinyComma-1.8B + mem. Llama-3.1-8B,bookmia.07.25,60,3.52157,3.48311,1
TinyComma-1.8B + mem. Llama-3.1-8B,bookmia.07.26,60,3.10043,3.07125,1
TinyComma-1.8B + mem. Llama-3.1-8B,bookmia.07.28,68,3.12857,3.14689,0
TinyComma-1.8B + mem. Llama-3.1-8B,bookmia.07.29,62,3.365,3.33675,1
TinyComma-1.8B + mem. Llama-3.1-8B,bookmia.07.30,57,3.73142,3.7744,0
TinyComma-1.8B + mem. Llama-3.1-8B,bookmia.07.31,72,2.48529,2.43822,1
TinyComma-1.8B + mem. Llama-3.1-8B,bookmia.07.32,68,3.06066,3.03415,1
TinyComma-1.8B + mem. Llama-3.1-8B,bookmia.07.37,58,3.51067,3.53749,0
TinyComma-1.8B + mem. Llama-3.1-8B,bookmia.07.40,62,2.2286,2.07533,1
TinyComma-1.8B + mem. Llama-3.1-8B,bookmia.07.41,63,3.4491,3.45548,0
TinyComma-1.8B + mem. Llama-3.1-8B,bookmia.07.43,67,3.52402,3.49411,1
TinyComma-1.8B + mem. Llama-3.1-8B,bookmia.07.44,57,3.36944,3.34695,1
TinyComma-1.8B + mem. Llama-3.1-8B,bookmia.07.47,60,2.5063,2.47779,1
TinyComma-1.8B + mem. Llama-3.1-8B,bookmia.07.49,61,2.25622,2.20389,1
TinyComma-1.8B + mem. Llama-3.1-8B,bookmia.07.53,64,2.95546,2.99127,0
TinyComma-1.8B + mem. Llama-3.1-8B,bookmia.07.54,60,3.10912,3.03161,1
TinyComma-1.8B + mem. Llama-3.1-8B,bookmia.07.55,60,3.0986,3.03724,1
TinyComma-1.8B + mem. Llama-3.1-8B,bookmia.07.56,59,2.91027,2.95577,0
TinyComma-1.8B + mem. Llama-3.1-8B,bookmia.07.57,58,3.12563,3.1445,0
TinyComma-1.8B + mem. Llama-3.1-8B,bookmia.07.59,57,2.80136,2.76311,1
TinyComma-1.8B + mem. Llama-3.1-8B,bookmia.07.61,59,4.01513,3.9922,1
TinyComma-1.8B + mem. Llama-3.1-8B,bookmia.07.62,64,3.23191,3.23182,1
TinyComma-1.8B + mem. Llama-3.1-8B,bookmia.07.63,62,2.99131,2.88327,1
TinyComma-1.8B + mem. Llama-3.1-8B,bookmia.07.66,62,2.43876,2.41742,1
TinyComma-1.8B + mem. Llama-3.1-8B,bookmia.07.70,60,3.3173,3.27822,1
TinyComma-1.8B + mem. Llama-3.1-8B,bookmia.07.72,62,2.72798,2.73706,0
TinyComma-1.8B + mem. Llama-3.1-8B,bookmia.07.73,58,3.15775,3.04604,1
TinyComma-1.8B + mem. Llama-3.1-8B,bookmia.07.77,56,2.91935,2.92528,0
TinyComma-1.8B + mem. Llama-3.1-8B,bookmia.07.80,69,3.02048,2.98431,1
Comma-7B + mem. Comma-7B,bookmia.00.11,65,1.57211,1.49848,1
Comma-7B + mem. Comma-7B,bookmia.00.26,67,2.2706,2.26049,1
Comma-7B + mem. Comma-7B,bookmia.00.31,65,2.16676,2.17457,0
Comma-7B + mem. Comma-7B,bookmia.00.40,68,2.05534,2.09813,0
Comma-7B + mem. Comma-7B,bookmia.00.46,68,2.38651,2.32292,1
Comma-7B + mem. Comma-7B,bookmia.00.48,72,2.07351,2.05911,1
Comma-7B + mem. Comma-7B,bookmia.00.64,72,1.84364,1.8051,1
Comma-7B + mem. Comma-7B,bookmia.00.71,77,1.86911,1.82367,1
Comma-7B + mem. Comma-7B,bookmia.01.00,75,1.49673,1.50047,0
Comma-7B + mem. Comma-7B,bookmia.01.01,74,1.96324,1.97439,0
Comma-7B + mem. Comma-7B,bookmia.01.02,71,3.05514,2.92644,1
Comma-7B + mem. Comma-7B,bookmia.01.03,66,2.62134,2.64895,0
Comma-7B + mem. Comma-7B,bookmia.01.04,79,2.23823,2.24512,0
Comma-7B + mem. Comma-7B,bookmia.01.07,75,2.4382,2.41914,1
Comma-7B + mem. Comma-7B,bookmia.01.10,80,2.50165,2.44184,1
Comma-7B + mem. Comma-7B,bookmia.01.11,77,1.96155,1.96046,1
Comma-7B + mem. Comma-7B,bookmia.01.12,98,2.26362,2.27064,0
Comma-7B + mem. Comma-7B,bookmia.01.14,65,2.07363,2.0762,0
Comma-7B + mem. Comma-7B,bookmia.01.20,76,2.13918,2.15972,0
Comma-7B + mem. Comma-7B,bookmia.01.22,75,2.13694,2.09056,1
Comma-7B + mem. Comma-7B,bookmia.01.23,68,2.63704,2.61687,1
Comma-7B + mem. Comma-7B,bookmia.01.26,71,2.32835,2.32772,1
Comma-7B + mem. Comma-7B,bookmia.01.27,73,2.56708,2.57901,0
Comma-7B + mem. Comma-7B,bookmia.01.31,73,2.03046,1.98657,1
Comma-7B + mem. Comma-7B,bookmia.01.32,79,2.17968,2.18579,0
Comma-7B + mem. Comma-7B,bookmia.01.33,77,2.04691,2.05619,0
Comma-7B + mem. Comma-7B,bookmia.01.36,80,2.40212,2.34051,1
Comma-7B + mem. Comma-7B,bookmia.01.37,77,1.9294,1.93384,0
Comma-7B + mem. Comma-7B,bookmia.01.39,73,2.17907,2.19129,0
Comma-7B + mem. Comma-7B,bookmia.01.41,79,2.08025,2.10255,0
Comma-7B + mem. Comma-7B,bookmia.01.42,74,2.56457,2.5291,1
Comma-7B + mem. Comma-7B,bookmia.01.43,88,1.88344,1.84855,1
Comma-7B + mem. Comma-7B,bookmia.01.44,79,2.02114,1.99259,1
Comma-7B + mem. Comma-7B,bookmia.01.46,79,2.53565,2.46168,1
Comma-7B + mem. Comma-7B,bookmia.01.49,72,1.92427,1.92465,0
Comma-7B + mem. Comma-7B,bookmia.01.51,74,1.99125,1.96949,1
Comma-7B + mem. Comma-7B,bookmia.01.52,83,1.96645,1.87777,1
Comma-7B + mem. Comma-7B,bookmia.01.58,69,2.02047,2.05147,0
Comma-7B + mem. Comma-7B,bookmia.01.59,74,2.31375,2.29409,1
Comma-7B + mem. Comma-7B,bookmia.01.60,74,2.17759,2.10015,1
Comma-7B + mem. Comma-7B,bookmia.01.62,79,1.80258,1.84383,0
Comma-7B + mem. Comma-7B,bookmia.01.69,70,2.84114,2.85302,0
Comma-7B + mem. Comma-7B,bookmia.01.71,72,2.24261,2.27332,0
Comma-7B + mem. Comma-7B,bookmia.01.73,80,2.23449,2.10384,1
Comma-7B + mem. Comma-7B,bookmia.01.74,79,2.32409,2.31547,1
Comma-7B + mem. Comma-7B,bookmia.01.75,69,2.2003,2.24337,0
Comma-7B + mem. Comma-7B,bookmia.01.76,76,2.12689,2.03628,1
Comma-7B + mem. Comma-7B,bookmia.01.77,78,1.79115,1.81359,0
Comma-7B + mem. Comma-7B,bookmia.01.78,74,2.0718,2.04277,1
Comma-7B + mem. Comma-7B,bookmia.01.79,75,2.46268,2.47748,0
Comma-7B + mem. Comma-7B,bookmia.01.81,72,1.76316,1.77127,0
Comma-7B + mem. Comma-7B,bookmia.01.82,75,1.98472,1.98091,1
Comma-7B + mem. Comma-7B,bookmia.01.83,89,1.99459,1.88525,1
Comma-7B + mem. Comma-7B,bookmia.01.87,74,2.43441,2.4834,0
Comma-7B + mem. Comma-7B,bookmia.01.88,68,2.12492,2.09441,1
Comma-7B + mem. Comma-7B,bookmia.01.89,75,2.10651,2.07308,1
Comma-7B + mem. Comma-7B,bookmia.01.90,74,2.29291,2.20328,1
Comma-7B + mem. Comma-7B,bookmia.01.97,69,1.85655,1.87875,0
Comma-7B + mem. Comma-7B,bookmia.07.02,64,1.78478,1.7413,1
Comma-7B + mem. Comma-7B,bookmia.07.03,68,2.54731,2.67128,0
Comma-7B + mem. Comma-7B,bookmia.07.04,74,2.66149,2.6032,1
