pair,prompt_id,n_tokens,kbar,plug_in,kbar_gt_plug
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.20,70,2.80623,2.71556,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.22,66,3.1627,2.87909,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.23,65,3.37122,3.04341,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.26,68,2.94236,2.48415,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.27,68,2.984,2.98529,0
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.31,66,2.8648,2.663,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.32,68,2.88521,2.88771,0
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.33,69,2.81602,2.81941,0
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.36,64,3.90781,3.50466,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.37,70,3.04124,2.45362,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.39,71,2.78229,2.63257,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.41,67,3.12823,3.13018,0
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.42,63,3.50263,3.39145,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.43,79,2.82009,2.59454,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.44,69,3.26484,2.6424,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.46,74,3.26814,3.23163,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.49,65,3.24436,3.25956,0
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.51,65,2.81142,2.68115,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.52,72,2.75011,2.4707,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.58,65,2.72929,2.4764,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.59,69,3.19911,2.99213,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.60,66,3.04737,2.82046,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.62,71,2.74882,2.40947,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.69,67,3.38518,3.38889,0
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.71,66,2.87314,2.87417,0
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.73,71,3.01917,2.96383,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.74,71,3.1497,2.78136,1
Pleias-1.2B + mem. Pleias-1.2B,bookmia.01.75,70,3.28313,3.0087,1
