alpha,k,split,n_protected,n_ordinary,ordinary_split,price_nats,price_frac_ceiling,logp_target,logp_per_token,n_tokens,logp_target_risky,logp_target_safe
1.0,0.5,attack_train,25,25,creative,3770.438,0.6843,-8413.506,-0.8856,9500,-26.25,-23030.462
1.0,0.75,attack_train,25,25,creative,4262.756,0.7737,-6731.561,-0.7086,9500,-26.25,-23030.462
1.0,1.0,attack_train,25,25,creative,4597.786,0.8345,-5572.378,-0.5866,9500,-26.25,-23030.462
1.0,1.5,attack_train,25,25,creative,5009.938,0.9093,-4022.165,-0.4234,9500,-26.25,-23030.462
1.0,2.0,attack_train,25,25,creative,5231.164,0.9495,-3010.373,-0.3169,9500,-26.25,-23030.462
1.0,2.5,attack_train,25,25,creative,5349.852,0.971,-2293.854,-0.2415,9500,-26.25,-23030.462
1.0,3.0,attack_train,25,25,creative,5412.046,0.9823,-1761.906,-0.1855,9500,-26.25,-23030.462
1.0,4.0,attack_train,25,25,creative,5464.236,0.9918,-1040.47,-0.1095,9500,-26.25,-23030.462
1.0,5.5,attack_train,25,25,creative,5490.929,0.9966,-461.257,-0.0486,9500,-26.25,-23030.462
1.0,7.5,attack_train,25,25,creative,5503.735,0.9989,-147.845,-0.0156,9500,-26.25,-23030.462
1.0,10.0,attack_train,25,25,creative,5508.875,0.9999,-47.88,-0.005,9500,-26.25,-23030.462
1.0,14.0,attack_train,25,25,creative,5509.588,1.0,-27.683,-0.0029,9500,-26.25,-23030.462
2.0,0.5,attack_train,25,25,creative,2964.929,0.5381,-12254.763,-1.29,9500,-26.25,-23030.462
2.0,0.75,attack_train,25,25,creative,3435.761,0.6236,-10824.429,-1.1394,9500,-26.25,-23030.462
2.0,1.0,attack_train,25,25,creative,3788.573,0.6876,-9740.949,-1.0254,9500,-26.25,-23030.462
2.0,1.5,attack_train,25,25,creative,4294.172,0.7794,-8071.229,-0.8496,9500,-26.25,-23030.462
2.0,2.0,attack_train,25,25,creative,4639.265,0.842,-6763.499,-0.7119,9500,-26.25,-23030.462
2.0,2.5,attack_train,25,25,creative,4883.99,0.8865,-5679.377,-0.5978,9500,-26.25,-23030.462
2.0,3.0,attack_train,25,25,creative,5057.018,0.9179,-4753.608,-0.5004,9500,-26.25,-23030.462
2.0,4.0,attack_train,25,25,creative,5263.871,0.9554,-3249.347,-0.342,9500,-26.25,-23030.462
2.0,5.5,attack_train,25,25,creative,5404.698,0.981,-1700.65,-0.179,9500,-26.25,-23030.462
2.0,7.5,attack_train,25,25,creative,5474.367,0.9936,-603.27,-0.0635,9500,-26.25,-23030.462
2.0,10.0,attack_train,25,25,creative,5503.934,0.999,-152.381,-0.016,9500,-26.25,-23030.462
2.0,14.0,attack_train,25,25,creative,5509.588,1.0,-35.981,-0.0038,9500,-26.25,-23030.462
4.0,0.5,attack_train,25,25,creative,2297.134,0.4169,-15356.296,-1.6165,9500,-26.25,-23030.462
4.0,0.75,attack_train,25,25,creative,2721.615,0.494,-14136.766,-1.4881,9500,-26.25,-23030.462
4.0,1.0,attack_train,25,25,creative,3061.193,0.5556,-13100.173,-1.379,9500,-26.25,-23030.462
4.0,1.5,attack_train,25,25,creative,3593.357,0.6522,-11279.879,-1.1874,9500,-26.25,-23030.462
4.0,2.0,attack_train,25,25,creative,3999.657,0.7259,-9674.335,-1.0184,9500,-26.25,-23030.462
4.0,2.5,attack_train,25,25,creative,4320.997,0.7843,-8244.823,-0.8679,9500,-26.25,-23030.462
4.0,3.0,attack_train,25,25,creative,4575.019,0.8304,-6968.305,-0.7335,9500,-26.25,-23030.462
4.0,4.0,attack_train,25,25,creative,4936.723,0.896,-4813.751,-0.5067,9500,-26.25,-23030.462
4.0,5.5,attack_train,25,25,creative,5254.391,0.9537,-2531.85,-0.2665,9500,-26.25,-23030.462
4.0,7.5,attack_train,25,25,creative,5435.394,0.9865,-892.791,-0.094,9500,-26.25,-23030.462
4.0,10.0,attack_train,25,25,creative,5498.5,0.998,-216.099,-0.0227,9500,-26.25,-23030.462
4.0,14.0,attack_train,25,25,creative,5509.565,1.0,-40.878,-0.0043,9500,-26.25,-23030.462
8.0,0.5,attack_train,25,25,creative,1799.441,0.3266,-17437.076,-1.8355,9500,-26.25,-23030.462
8.0,0.75,attack_train,25,25,creative,2184.934,0.3966,-16249.883,-1.7105,9500,-26.25,-23030.462
8.0,1.0,attack_train,25,25,creative,2507.224,0.4551,-15155.033,-1.5953,9500,-26.25,-23030.462
8.0,1.5,attack_train,25,25,creative,3036.767,0.5512,-13122.421,-1.3813,9500,-26.25,-23030.462
8.0,2.0,attack_train,25,25,creative,3461.597,0.6283,-11276.426,-1.187,9500,-26.25,-23030.462
8.0,2.5,attack_train,25,25,creative,3815.534,0.6925,-9618.55,-1.0125,9500,-26.25,-23030.462
8.0,3.0,attack_train,25,25,creative,4113.211,0.7466,-8132.261,-0.856,9500,-26.25,-23030.462
8.0,4.0,attack_train,25,25,creative,4577.389,0.8308,-5617.738,-0.5913,9500,-26.25,-23030.462
8.0,5.5,attack_train,25,25,creative,5048.095,0.9162,-2953.231,-0.3109,9500,-26.25,-23030.462
8.0,7.5,attack_train,25,25,creative,5369.346,0.9745,-1038.551,-0.1093,9500,-26.25,-23030.462
8.0,10.0,attack_train,25,25,creative,5489.906,0.9964,-248.543,-0.0262,9500,-26.25,-23030.462
8.0,14.0,attack_train,25,25,creative,5509.34,1.0,-43.335,-0.0046,9500,-26.25,-23030.462
