prompt_id,cls,median_R,min_R,served_C4.1589,served_C33.271,served_C83.178,served_C159.83
87tx3g,creative,193.38,79.94,anchor,anchor,anchor,risky#11
8a18sf,creative,193.31,115.49,anchor,anchor,anchor,risky#20
8aec6t,creative,186.72,114.81,anchor,anchor,anchor,risky#0
8fk0hr,creative,177.95,103.77,anchor,anchor,anchor,risky#1
8gfhh9,creative,168.1,95.54,anchor,anchor,anchor,risky#0
8gs4wp,creative,191.59,88.16,anchor,anchor,anchor,risky#2
8k4am7,creative,173.61,73.35,anchor,anchor,risky#7,risky#6
8myeno,creative,236.61,132.7,anchor,anchor,anchor,risky#30
8o89ko,creative,180.7,103.72,anchor,anchor,anchor,risky#1
8p3ora,creative,183.8,101.7,anchor,anchor,anchor,risky#14
8pr271,creative,176.26,82.27,anchor,anchor,anchor,risky#0
8tmkfc,creative,169.34,112.22,anchor,anchor,anchor,risky#0
8vr4k2,creative,179.18,115.64,anchor,anchor,anchor,risky#10
8vyqdq,creative,181.2,79.71,anchor,anchor,anchor,risky#5
8x0xa7,creative,178.75,105.18,anchor,anchor,anchor,risky#6
8x86s0,creative,173.94,105.77,anchor,anchor,anchor,risky#0
8y8wrr,creative,195.75,116.76,anchor,anchor,anchor,risky#1
8z1sq1,creative,177.71,112.06,anchor,anchor,anchor,risky#1
9470fc,creative,174.87,58.02,anchor,anchor,risky#5,risky#4
96myl6,creative,179.15,100.23,anchor,anchor,anchor,risky#0
96xnw9,creative,165.59,81.0,anchor,anchor,anchor,risky#4
99kk88,creative,175.16,107.76,anchor,anchor,anchor,risky#1
9edjv0,creative,169.17,95.29,anchor,anchor,anchor,risky#2
9f7www,creative,176.12,95.74,anchor,anchor,anchor,risky#5
9g2cbq,creative,178.29,83.68,anchor,anchor,anchor,risky#2
9ki47u,creative,173.4,82.14,anchor,anchor,anchor,risky#0
9l0dam,creative,164.92,70.65,anchor,anchor,risky#33,risky#7
9neuk8,creative,156.83,84.06,anchor,anchor,anchor,risky#0
9qn4tw,creative,199.35,126.22,anchor,anchor,anchor,risky#13
a318ye,creative,160.64,100.27,anchor,anchor,anchor,risky#0
a3pdwk,creative,155.46,76.05,anchor,anchor,risky#5,risky#2
acjzv0,creative,184.03,82.58,anchor,anchor,anchor,risky#1
afc9c4,creative,185.52,89.1,anchor,anchor,anchor,risky#8
aowr4t,creative,183.85,126.7,anchor,anchor,anchor,risky#4
ar7nm2,creative,191.03,117.87,anchor,anchor,anchor,risky#0
auig0m,creative,185.95,89.93,anchor,anchor,anchor,risky#9
b4yx63,creative,167.47,102.36,anchor,anchor,anchor,risky#9
b87jl7,creative,216.71,135.42,anchor,anchor,anchor,risky#4
b9uzz1,creative,184.92,119.5,anchor,anchor,anchor,risky#7
bhyplf,creative,194.22,135.11,anchor,anchor,anchor,risky#3
bk7lic,creative,181.99,113.57,anchor,anchor,anchor,risky#3
ciifmd,creative,164.72,54.84,anchor,anchor,risky#42,risky#1
ck6twx,creative,177.0,113.52,anchor,anchor,anchor,risky#1
cpxk2b,creative,179.44,72.26,anchor,anchor,risky#39,risky#0
dqn4sj,creative,178.1,71.92,anchor,anchor,risky#25,risky#8
eu7ub2,creative,161.77,82.5,anchor,anchor,anchor,risky#0
fact_00003_Fernando da Costa Novaes,factual,140.7,78.25,anchor,anchor,risky#48,risky#1
fact_00006_David Galloway (writer),factual,145.08,87.04,anchor,anchor,anchor,risky#1
fact_00007_Cheyenne Brando,factual,173.44,121.17,anchor,anchor,anchor,risky#0
fact_00012_Braulio Lara,factual,157.11,98.86,anchor,anchor,anchor,risky#2
fact_00015_Amr Shabana,factual,151.49,80.42,anchor,anchor,anchor,risky#1
fact_00017_Abdulqawi Yusuf,factual,135.21,72.61,anchor,anchor,risky#34,risky#2
fact_00025_Carlos P. Romulo,factual,151.38,96.15,anchor,anchor,anchor,risky#0
