prompt_id,split,novel_source,S_safe,n_ref_tokens,S_safe_per_tok,S_safe_first_tok,S_risky,S_risky_per_tok,S_risky_first_tok,cap_k0.1,cap_k0.15,cap_k0.25,cap_k0.5,cap_k1,cap_k3,cap_k5
bookmia.10.13,attack_train,dune,214.015,63,3.3971,12.907,170.461,2.7057,11.04,0.094918,0.142087,0.236183,0.470488,0.93563,1.0,1.0
bookmia.10.14,attack_train,dune,241.094,66,3.6529,14.789,197.833,2.9975,13.7,0.084153,0.126004,0.209517,0.417594,0.831433,1.0,1.0
bookmia.10.16,attack_train,dune,202.977,58,3.4996,12.624,178.421,3.0762,12.902,0.100136,0.149882,0.249099,0.496081,0.985702,1.0,1.0
bookmia.10.19,attack_train,dune,226.326,62,3.6504,11.955,166.884,2.6917,10.895,0.089702,0.134295,0.223266,0.444876,0.885255,1.0,1.0
bookmia.10.21,attack_train,dune,231.828,64,3.6223,12.003,202.982,3.1716,11.925,0.087551,0.131082,0.217939,0.434307,0.86442,1.0,1.0
bookmia.10.25,attack_train,dune,220.52,71,3.1059,2.109,166.874,2.3503,2.323,0.092088,0.137861,0.229178,0.4566,0.908337,1.0,1.0
bookmia.10.32,attack_train,dune,229.939,73,3.1499,6.415,179.598,2.4602,7.367,0.088278,0.132168,0.219739,0.437879,0.871464,1.0,1.0
bookmia.10.35,attack_train,dune,214.479,55,3.8996,14.971,191.348,3.4791,13.683,0.09471,0.141777,0.235669,0.469469,0.933631,1.0,1.0
bookmia.10.36,attack_train,dune,207.239,59,3.5125,17.491,183.971,3.1182,12.809,0.098055,0.146773,0.243948,0.485877,0.965789,1.0,1.0
bookmia.10.37,attack_train,dune,229.052,68,3.3684,12.513,166.567,2.4495,12.875,0.088623,0.132684,0.220595,0.439576,0.874811,1.0,1.0
bookmia.10.38,attack_train,dune,219.129,61,3.5923,15.138,191.01,3.1313,13.958,0.092679,0.138743,0.230641,0.4595,0.914042,1.0,1.0
bookmia.10.40,attack_train,dune,204.894,67,3.0581,12.835,158.87,2.3712,11.277,0.099189,0.148467,0.246756,0.491439,0.976655,1.0,1.0
bookmia.10.41,attack_train,dune,233.775,65,3.5965,16.32,201.628,3.102,15.185,0.086815,0.129981,0.216114,0.430686,0.857277,1.0,1.0
bookmia.10.42,attack_train,dune,199.263,62,3.2139,12.216,170.537,2.7506,9.767,0.102023,0.1527,0.253767,0.505328,1.0,1.0,1.0
bookmia.10.44,attack_train,dune,216.909,73,2.9714,14.49,146.948,2.013,11.431,0.093638,0.140175,0.233014,0.464207,0.923293,1.0,1.0
bookmia.10.48,attack_train,dune,243.843,74,3.2952,13.664,158.258,2.1386,14.686,0.083195,0.124572,0.207142,0.41288,0.82212,1.0,1.0
bookmia.10.49,attack_train,dune,239.319,67,3.5719,9.21,194.179,2.8982,8.869,0.084783,0.126946,0.21108,0.420696,0.837559,1.0,1.0
bookmia.10.52,attack_train,dune,231.726,72,3.2184,11.565,181.289,2.5179,13.681,0.08759,0.13114,0.218035,0.434498,0.864798,1.0,1.0
