prompt_id,arm,novel,blocked_steps,nv_recall,lcs_word,rouge_l
bookmia.00.11,-1,1984,0,0.515,103,0.6799
bookmia.00.26,-1,1984,0,0.5337,88,0.6646
bookmia.00.31,-1,1984,0,0.2381,41,0.3701
bookmia.00.40,-1,1984,0,0.31,62,0.6424
bookmia.00.46,-1,1984,0,0.0,2,0.1479
bookmia.00.48,-1,1984,0,0.4476,32,0.5901
bookmia.00.64,-1,1984,0,0.4326,93,0.6626
bookmia.00.71,-1,1984,0,0.4381,92,0.6667
bookmia.01.00,-1,a_game_of_thrones,0,0.0,16,0.2785
bookmia.01.01,-1,a_game_of_thrones,0,0.4444,69,0.607
bookmia.01.02,-1,a_game_of_thrones,0,0.4897,95,0.6552
bookmia.01.03,-1,a_game_of_thrones,0,0.5103,72,0.6758
bookmia.01.04,-1,a_game_of_thrones,0,0.2598,53,0.4172
bookmia.01.07,-1,a_game_of_thrones,0,0.0,2,0.1373
bookmia.01.10,-1,a_game_of_thrones,0,0.485,61,0.6532
bookmia.01.11,-1,a_game_of_thrones,0,0.476,99,0.6429
bookmia.01.12,-1,a_game_of_thrones,0,0.3445,72,0.5206
bookmia.01.14,-1,a_game_of_thrones,0,0.4872,95,0.6552
bookmia.01.20,-1,a_game_of_thrones,0,0.0,8,0.2252
bookmia.01.22,-1,a_game_of_thrones,0,0.4623,92,0.6323
bookmia.01.23,-1,a_game_of_thrones,0,0.1271,23,0.3395
bookmia.01.26,-1,a_game_of_thrones,0,0.3571,68,0.5845
bookmia.01.27,-1,a_game_of_thrones,0,0.5,91,0.6642
bookmia.01.31,-1,a_game_of_thrones,0,0.4817,92,0.6479
bookmia.01.32,-1,a_game_of_thrones,0,0.4162,52,0.5978
bookmia.01.33,-1,a_game_of_thrones,0,0.4444,49,0.6087
bookmia.01.36,-1,a_game_of_thrones,0,0.5,100,0.6645
bookmia.01.37,-1,a_game_of_thrones,0,0.5217,96,0.6833
bookmia.01.39,-1,a_game_of_thrones,0,0.2323,46,0.3906
bookmia.01.41,-1,a_game_of_thrones,0,0.4951,101,0.6623
bookmia.01.42,-1,a_game_of_thrones,0,0.5198,105,0.684
bookmia.01.43,-1,a_game_of_thrones,0,0.2415,25,0.4595
bookmia.01.44,-1,a_game_of_thrones,0,0.4683,51,0.6312
bookmia.01.46,-1,a_game_of_thrones,0,0.4615,80,0.6246
bookmia.01.49,-1,a_game_of_thrones,0,0.4653,94,0.6351
bookmia.01.51,-1,a_game_of_thrones,0,0.476,99,0.645
bookmia.01.52,-1,a_game_of_thrones,0,0.4341,89,0.6054
bookmia.01.58,-1,a_game_of_thrones,0,0.0,8,0.1806
bookmia.01.59,-1,a_game_of_thrones,0,0.4593,96,0.6295
