n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,rouge_l_mean,rouge_ge_0p3_pct,rouge_ge_0p5_pct,ge_0p01_pct
1,0.0,50,0.0052,0.2604,2.38,0.1122,2.0,0.0,2.0
8,1.2044,50,0.0,0.0,2.14,0.111,0.0,0.0,0.0
64,3.1745,50,0.0,0.0,2.06,0.1012,0.0,0.0,0.0
-1,,50,0.0,0.0,,0.116,0.0,0.0,0.0
