published_k,alpha,k_matched,price_nats,logp_target,nats_per_window,off_grid
1.0,1.0,1.0,4378.034,-4816.186,0.0,False
1.0,2.0,1.9495,4378.034,-5526.438,4.894,False
1.0,4.0,2.9698,4378.034,-5426.366,4.204,False
1.0,8.0,3.7634,4378.034,-4745.446,-0.487,False
3.0,1.0,3.0,5095.645,-1486.09,0.0,False
3.0,2.0,5.6237,5095.645,-1345.968,-0.965,False
3.0,4.0,7.1875,5095.645,-1062.295,-2.92,False
3.0,8.0,8.3016,5095.645,-813.708,-4.633,False
