prompt_id,novel,risky_alone_recall,anchor_mean_recall,anchor_max_recall,recall_n1,lcs_n1,recall_n8,lcs_n8,recall_n64,lcs_n64
bookmia.00.11,1984,0.802,0.6816,0.7673,0.7673,155,0.7673,155,0.7673,155
bookmia.00.26,1984,0.7014,0.7563,0.7867,0.7867,166,0.7867,166,0.7867,166
bookmia.00.31,1984,0.0,0.7492,0.7842,0.6211,118,0.7842,149,0.7842,149
bookmia.00.40,1984,0.2892,0.6599,0.7353,0.7353,150,0.7353,150,0.7353,150
bookmia.00.46,1984,0.0,0.506,0.729,0.5514,117,0.5514,117,0.6449,138
bookmia.00.48,1984,0.77,0.7184,0.7606,0.7606,162,0.7606,162,0.7606,162
bookmia.00.64,1984,0.0,0.6883,0.7696,0.5945,129,0.7696,167,0.7696,167
bookmia.00.71,1984,0.3897,0.5895,0.6995,0.6995,149,0.6995,149,0.6995,149
bookmia.01.00,a_game_of_thrones,0.0,0.6556,0.7183,0.7183,153,0.7183,153,0.7183,153
bookmia.01.01,a_game_of_thrones,0.2488,0.6179,0.659,0.6544,142,0.6544,142,0.6544,142
bookmia.01.02,a_game_of_thrones,0.7424,0.662,0.7172,0.7172,142,0.7172,142,0.7172,142
bookmia.01.03,a_game_of_thrones,0.2778,0.5485,0.6364,0.6162,122,0.6162,122,0.6162,122
bookmia.01.04,a_game_of_thrones,0.2754,0.6682,0.7729,0.7729,160,0.7729,160,0.7729,160
bookmia.01.07,a_game_of_thrones,0.5352,0.6971,0.7418,0.7418,158,0.7418,158,0.7418,158
bookmia.01.10,a_game_of_thrones,0.0,0.6482,0.7129,0.7129,144,0.7129,144,0.7129,144
bookmia.01.11,a_game_of_thrones,0.7642,0.7024,0.7594,0.7594,161,0.7594,161,0.7594,161
bookmia.01.12,a_game_of_thrones,0.1033,0.5239,0.6854,0.5634,120,0.6808,145,0.6808,145
bookmia.01.14,a_game_of_thrones,0.7487,0.6557,0.7337,0.7337,103,0.7337,146,0.7337,146
bookmia.01.20,a_game_of_thrones,0.1281,0.6529,0.7044,0.7044,143,0.7044,143,0.7044,143
bookmia.01.22,a_game_of_thrones,0.6965,0.6262,0.6915,0.6716,135,0.6716,135,0.6716,135
