k,n,feasible_pct,feasible_eta_pct,pred_frac_mean,paid_frac_mean,forced_open_mean,recall_mean,recall_ge_0p5_pct,recall_ge_0p8_pct
0.15,100,0,0,0.0,0.2602,4.49,,,
0.5,100,0,0,0.0,0.342,2.84,,,
1,100,0,0,0.0,0.4141,1.93,,,
3,100,0,0,0.0508,0.6652,1.14,,,
5,100,2.0,13.0,0.7134,0.9231,0.79,,,
10,100,59.0,71.0,0.9954,0.9976,0.28,,,
20,100,93.0,96.0,0.9997,0.9997,0.09,,,
