n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,ge_0p01_pct
1,0.0,100,0.3901,0.8182,61.55,86.0
8,1.2044,100,0.6223,0.8307,99.95,99.0
64,3.1745,100,0.672,0.8307,113.62,96.0
-1,,100,0.3925,0.8154,,78.0
