width,A_harness_anchor_plus_risky_s,B_harness_anchor_paired_s,C_plain_anchor_alone_s,D_metered_s,discarded_model_share,C_over_A,C_over_D
64,7.517,6.78,3.349,7.768,0.0979,0.4456,0.4312
200,12.838,8.515,4.463,13.074,0.3367,0.3476,0.3414
