prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64,recall_n256,lcs_n256,rouge_n256,oracle_recall_n256,oracle_rouge_n256
bookmia.01.73,a_game_of_thrones,0.1925,0.3271,0.3735,0.7653,0.8427,0,256,0.493,54,0.6082,0.493,0.6082,0.4648,75,0.6419,0.5023,0.672,0.7418,79,0.8396,0.7418,0.8396,0.7653,67,0.8427,0.7653,0.8427
bookmia.01.74,a_game_of_thrones,0.0,0.1471,0.1691,0.7938,0.8646,0,148,0.1031,11,0.217,0.1031,0.217,0.7835,73,0.853,0.7835,0.853,0.7835,73,0.853,0.7835,0.853,0.7938,81,0.8646,0.7938,0.8646
bookmia.01.75,a_game_of_thrones,0.0,0.1637,0.3667,0.7158,0.8144,0,248,0.3421,65,0.4971,0.3421,0.4971,0.5053,65,0.6012,0.5053,0.6012,0.6684,65,0.8084,0.6947,0.8084,0.3368,64,0.4343,0.7158,0.8144
bookmia.01.76,a_game_of_thrones,0.0,0.1859,0.1958,0.392,0.595,0,212,0.0,9,0.1333,0.0,0.1333,0.3869,27,0.489,0.3869,0.489,0.3317,53,0.478,0.3869,0.5042,0.0,12,0.1778,0.392,0.595
bookmia.01.77,a_game_of_thrones,0.4739,0.5956,0.3252,0.7299,0.8438,0,149,0.0,2,0.158,0.0,0.158,0.6588,110,0.8087,0.6588,0.8087,0.7251,153,0.8438,0.7251,0.8438,0.7251,153,0.8438,0.7299,0.8438
bookmia.01.78,a_game_of_thrones,0.768,0.8688,0.3907,0.7784,0.8663,0,157,0.7474,128,0.8406,0.7474,0.8406,0.7577,127,0.8538,0.7577,0.8538,0.7526,146,0.858,0.7577,0.858,0.7629,148,0.863,0.7784,0.8663
bookmia.01.79,a_game_of_thrones,0.2339,0.4252,0.3459,0.6927,0.7967,0,221,0.3945,78,0.5215,0.3945,0.5215,0.5688,75,0.6849,0.5688,0.6849,0.5688,75,0.6921,0.6193,0.7288,0.6422,75,0.7582,0.6927,0.7967
bookmia.01.81,a_game_of_thrones,0.6127,0.7654,0.5183,0.7549,0.8492,0,218,0.7157,75,0.8134,0.7157,0.8134,0.7157,75,0.8089,0.7157,0.8291,0.7353,75,0.838,0.7451,0.838,0.7549,75,0.8468,0.7549,0.8492
bookmia.01.82,a_game_of_thrones,0.3636,0.469,0.6272,0.7847,0.8763,0,222,0.7751,79,0.8571,0.7751,0.8571,0.7799,157,0.871,0.7799,0.871,0.7799,163,0.8763,0.7799,0.8763,0.7799,163,0.8763,0.7847,0.8763
bookmia.01.83,a_game_of_thrones,0.5522,0.7099,0.571,0.7612,0.8612,0,251,0.6766,78,0.7521,0.6766,0.7521,0.7562,136,0.8588,0.7562,0.8588,0.7562,152,0.8588,0.7612,0.8612,0.7562,152,0.8588,0.7612,0.8612
bookmia.01.87,a_game_of_thrones,0.2991,0.462,0.1764,0.6822,0.7824,0,224,0.1963,42,0.3371,0.1963,0.3371,0.1963,42,0.3324,0.1963,0.3658,0.6589,55,0.7744,0.6589,0.7744,0.6589,55,0.7744,0.6822,0.7824
