n,b,eps,log2_n,bits_per_response,analytic_bits,efficiency,match_rate,erasure_rate,undetected_error_rate,analytic_error_bound,odometer_max_responses,odometer_max_bits,distinct_draw_frac
2,1,0.94,1.0,0.0592,0.0591,0.0592,0.0592,0.9388,0.00195,0.0009,577,577.1,0.8738
4,1,0.65,2.0,0.512,0.5367,0.256,0.512,0.4842,0.0039,0.000938,288,577.1,0.8738
8,2,0.44,3.0,1.3236,1.4016,0.4412,0.6618,0.3329,0.0053,0.000968,192,577.1,0.8738
16,3,0.26,4.0,2.2168,2.3652,0.5542,0.7389,0.255,0.0061,0.000955,144,577.1,0.8738
32,4,0.15,5.0,3.1166,3.3027,0.6233,0.7792,0.2161,0.00475,0.000699,115,577.1,0.8738
64,5,0.08,6.0,3.9695,4.227,0.6616,0.7939,0.2021,0.00395,0.000631,96,577.1,0.8738
