model,id,split,novel,n_tok,n_char,total_nats,s_rate,k_crit,uncertified_width,nats_per_tok
common-pile/comma-v0.1-2t,bookmia.00.11,attack_train,1984,65,225,129.2796813494415,0.5745763615530732,20.554323196411133,35.77300524660123,1.988918174606792
common-pile/comma-v0.1-2t,bookmia.00.26,attack_train,1984,67,273,170.72516340770767,0.6253668989293322,4.252312469482422,6.799708262082068,2.548136767279219
common-pile/comma-v0.1-2t,bookmia.00.31,attack_train,1984,65,252,153.34441398846036,0.6085095793192872,2.7495992183685303,4.51858000566628,2.3591448305916978
common-pile/comma-v0.1-2t,bookmia.00.40,attack_train,1984,68,290,169.06222686069032,0.5829731960713459,4.751391887664795,8.150275037830909,2.4862092185395634
common-pile/comma-v0.1-2t,bookmia.00.46,attack_train,1984,68,312,189.75809395799592,0.6081990190961408,8.800387700398764,14.469585487785283,2.790560205264646
common-pile/comma-v0.1-2t,bookmia.00.48,attack_train,1984,72,264,188.9121500244437,0.7155763258501655,7.522869110107422,10.51302123665091,2.6237798614506067
common-pile/comma-v0.1-2t,bookmia.00.64,attack_train,1984,72,273,160.1927000443725,0.5867864470489834,3.9918160438537598,6.802842948962203,2.2248986117273954
common-pile/comma-v0.1-2t,bookmia.00.71,attack_train,1984,77,271,170.13331510620634,0.6277982107240087,6.794485727945964,10.822722352314797,2.2095235728078744
common-pile/comma-v0.1-2t,bookmia.01.00,attack_train,a_game_of_thrones,75,255,139.50114719862074,0.5470633223475323,5.918468475341797,10.818616846665472,1.8600152959816099
common-pile/comma-v0.1-2t,bookmia.01.01,attack_train,a_game_of_thrones,74,276,145.1567285438516,0.5259301758835203,1.0297675361004448,1.9579928730472982,1.9615774127547516
common-pile/comma-v0.1-2t,bookmia.01.02,attack_train,a_game_of_thrones,71,238,260.0604511504798,1.0926909712205035,21.89649200439453,20.039052743280926,3.6628232556405607
common-pile/comma-v0.1-2t,bookmia.01.03,attack_train,a_game_of_thrones,66,237,209.01338388423983,0.8819130121697883,6.880882263183594,7.802223312540112,3.1668694527915124
