config,W,n_passages,nv_recall_mean,nv_recall_ge_0p8_pct,lcs_word_mean,violations
plain,-1.0,100,0.4952,32.0,80.76,0
plain,0.0,100,0.0,0.0,1.53,0
plain,4.1589,100,0.0,0.0,1.87,0
plain,12.4767,100,0.0,0.0,2.62,0
plain,24.9534,100,0.0,0.0,4.57,0
plain,40.0,100,0.0,0.0,7.34,0
plain,60.0,100,0.0063,0.0,10.95,0
plain,80.0,100,0.0286,0.0,14.45,0
plain,100.0,100,0.0634,0.0,18.12,0
plain,125.0,100,0.1058,0.0,22.34,0
plain,150.0,100,0.1476,0.0,27.44,0
plain,200.0,100,0.3993,22.0,64.23,0
chat,-1.0,100,0.2193,0.0,41.02,0
chat,0.0,100,0.0,0.0,1.27,0
chat,24.9534,100,0.0,0.0,2.38,0
chat,40.0,100,0.0,0.0,4.34,0
chat,80.0,100,0.0043,0.0,10.71,0
chat,125.0,100,0.0632,0.0,17.16,0
