arm,level,lo95,hi95,n,x_kind,x_nats,note
sel_n1,0.4535,0.432,0.475,500,kl_bound,0.0,
sel_n2,0.473,0.452,0.4935,500,kl_bound,0.1931,
sel_n4,0.487,0.467,0.507,500,kl_bound,0.6363,
sel_n8,0.5115,0.4895,0.533,500,kl_bound,1.2044,
sel_n16,0.532,0.5105,0.554,500,kl_bound,1.8351,
