arm,prompt_id,n_facts,n_supported,precision,abstained
ab_k0.5,fact_00354_Bobby Thomson,17,13,0.764706,0
ab_k0.5,fact_00356_Eric Winter,9,0,0.0,0
ab_k0.5,fact_00362_Aert van der Neer,0,0,,1
ab_k0.5,fact_00364_Blanca Errázuriz,16,1,0.0625,0
ab_k0.5,fact_00366_Deitrick Haddon,18,10,0.555556,0
ab_k0.5,fact_00367_Andreas Ivanschitz,0,0,,1
ab_k0.5,fact_00368_Clancy Brown,0,0,,1
ab_k0.5,fact_00371_Carrie Ann Inaba,20,6,0.3,0
ab_k0.5,fact_00374_Cicero,0,0,,1
ab_k0.5,fact_00376_14th Dalai Lama,12,10,0.833333,0
ab_k0.5,fact_00377_Christian Almeida,0,0,,1
ab_k0.5,fact_00378_Arthur Wakefield,7,0,0.0,0
ab_k0.5,fact_00384_Andry Rajoelina,0,0,,1
ab_k0.5,fact_00394_Danny Almonte,11,4,0.363636,0
ab_k0.5,fact_00396_Andy Middleton,14,3,0.214286,0
ab_k0.5,fact_00397_Anderson Silva,6,4,0.666667,0
ab_k0.5,fact_00399_Edgar Bennett,0,0,,1
ab_k0.5,fact_00401_Balázs Bekő,10,0,0.0,0
ab_k0.5,fact_00404_Abraham Ancer,16,7,0.4375,0
ab_k0.5,fact_00418_A. K. Ramanujan,10,6,0.6,0
ab_k0.5,fact_00420_Carlos Ghosn,12,2,0.166667,0
ab_k0.5,fact_00421_Anurag Kashyap,19,15,0.789474,0
ab_k0.5,fact_00425_Angela Bairstow,6,1,0.166667,0
ab_k0.5,fact_00427_Ernestine Eckstein,12,2,0.166667,0
ab_k0.5,fact_00430_Ezekiel Elliott,12,6,0.5,0
ab_k0.5,fact_00433_Aaron Burr,9,6,0.666667,0
ab_k0.5,fact_00444_Charles B. McVay III,10,4,0.4,0
ab_k0.5,fact_00448_Carol Chell,4,0,0.0,0
ab_k0.5,fact_00449_Alen Omić,6,1,0.166667,0
ab_k0.5,fact_00452_Alice Torriani,6,0,0.0,0
ab_k0.5,fact_00454_Albert Outler,7,2,0.285714,0
ab_k0.5,fact_00459_Felician of Foligno,14,1,0.071429,0
ab_k0.5,fact_00460_Annie Landouw,0,0,,1
ab_k0.5,fact_00462_Bhāskara I,10,7,0.7,0
