k,n,feasible_pct,feasible_eta_pct,pred_frac_mean,paid_frac_mean,forced_open_mean,recall_mean,recall_ge_0p5_pct,recall_ge_0p8_pct
0.15,100,0,0,0.0,0.3423,2.49,,,
0.5,100,0,0,0.0,0.4739,1.22,,,
1,100,0,0,0.003,0.5949,0.8,,,
3,100,29.0,59.0,0.9863,0.9957,0.42,,,
5,100,74.0,84.0,0.9993,0.9994,0.25,,,
10,100,97.0,99.0,0.9999,0.9999,0.03,,,
20,100,100,100,1.0,1.0,0,,,
