model,id,split,novel,n_tok,n_char,total_nats,s_rate,k_crit,uncertified_width,nats_per_tok
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia100unseen.50.000,attack_train,a day of fallen night,56,245,206.35132467886433,0.8422503048116912,2.534054756164551,3.0086718184460737,3.684845083551149
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia100unseen.50.001,attack_train,a day of fallen night,61,241,238.80742100870702,0.9909021618618549,4.698593457539876,4.741732976655795,3.914875754241099
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia100unseen.50.002,attack_train,a day of fallen night,64,244,196.7940021881368,0.8065327958530196,6.865567207336426,8.512446415864765,3.0749062841896375
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia100unseen.50.003,attack_train,a day of fallen night,61,244,191.5458059941884,0.7850237950581492,4.089518864949544,5.2094202630464475,3.140095180232597
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia100unseen.50.004,attack_train,a day of fallen night,65,239,243.2904209177941,1.0179515519572975,13.816532135009766,13.572877911963104,3.742929552581448
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia100unseen.50.005,attack_train,a day of fallen night,55,245,257.68754196725786,1.0517858855806443,4.375657399495442,4.160216883952418,4.685228035768325
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia100unseen.50.006,attack_train,a day of fallen night,55,248,220.18208688209415,0.8878309954923151,3.602402687072754,4.057532013821132,4.00331067058353
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia100unseen.50.007,attack_train,a day of fallen night,60,244,160.26014171761926,0.6568038594984396,4.000455093383789,6.090791087066219,2.671002361960321
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia100unseen.50.008,attack_train,a day of fallen night,54,248,176.27611027570674,0.710790767240753,2.1822542190551757,3.0701780603123976,3.264372412513088
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia100unseen.50.009,attack_train,a day of fallen night,60,246,223.73043616932046,0.9094733177614652,6.748866081237793,7.420631204276706,3.728840602822008
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia100unseen.50.010,attack_train,a day of fallen night,59,245,236.22664651367813,0.9641903939333801,3.4973325729370117,3.627221962531455,4.003841466333528
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia100unseen.50.011,attack_train,a day of fallen night,57,237,260.98721465468407,1.1012118761801015,7.850547790527344,7.129007560070482,4.5787230641172645
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia100unseen.50.012,attack_train,a day of fallen night,64,249,222.55448485258967,0.8937931118577899,5.41270128885905,6.0558771566369565,3.4774138258217135
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia100unseen.50.013,attack_train,a day of fallen night,62,249,161.60901867737994,0.6490322035236142,4.157736142476399,6.406055231010005,2.606597075441612
