prompt_id,novel,n_steps,k,spend_greedy,spend_dual,fidelity_greedy,fidelity_dual,fidelity_ceiling,gain_ratio,frac_of_ceiling_greedy,frac_of_ceiling_dual,theta_greedy_mean,theta_dual_mean,theta_greedy_at_one_pct,theta_dual_at_zero_pct,jeffreys_median,price_iqr_ratio,lam
bookmia.00.11,,261,1.0,204.1995,204.1995,500.7698,520.3644,654.7051,1.0391,0.7649,0.7948,0.4868,0.1654,34.48,0.0,15.4311,1.965,0.640073
bookmia.00.26,,254,1.0,212.1937,212.1937,561.4982,582.3881,742.7961,1.0372,0.7559,0.784,0.4105,0.1686,25.59,0.0,17.6987,2.039,0.679714
bookmia.00.31,,247,1.0,210.2181,210.2181,551.692,574.4413,735.7021,1.0412,0.7499,0.7808,0.4045,0.1639,25.91,0.0,18.1776,1.868,0.694245
bookmia.00.40,,269,1.0,221.1248,221.1248,594.0302,616.6913,793.8545,1.0381,0.7483,0.7768,0.4308,0.1724,27.51,0.0,16.6103,2.017,0.703871
bookmia.00.46,,263,1.0,216.1947,216.1947,619.7926,650.7716,847.8066,1.05,0.7311,0.7676,0.4185,0.1593,27.38,0.0,18.856,1.937,0.760702
bookmia.00.48,,273,1.0,223.541,223.541,595.507,614.37,785.4846,1.0317,0.7581,0.7822,0.424,0.1665,27.84,0.0,17.5572,1.835,0.682058
bookmia.00.64,,262,1.0,218.8267,218.8267,565.8488,591.0111,755.9316,1.0445,0.7485,0.7818,0.4403,0.1639,30.15,0.0,17.419,2.082,0.68623
bookmia.00.71,,285,1.0,228.1242,228.1242,661.396,694.6376,903.63,1.0503,0.7319,0.7687,0.4309,0.155,29.12,0.0,18.2112,2.227,0.758931
bookmia.01.00,,285,1.0,229.5812,229.5812,652.7789,678.1489,875.5315,1.0389,0.7456,0.7746,0.4515,0.1642,31.23,0.0,17.9795,2.24,0.722671
bookmia.01.01,,305,1.0,240.5678,240.5678,698.6647,737.9733,954.7096,1.0563,0.7318,0.773,0.4515,0.1557,31.15,0.0,17.922,2.258,0.752688
bookmia.01.02,,276,1.0,234.0634,234.0634,688.784,719.1785,927.688,1.0441,0.7425,0.7752,0.3941,0.1594,24.28,0.0,18.2204,2.351,0.740853
bookmia.01.03,,266,1.0,230.4386,230.4386,641.9938,667.5858,864.6456,1.0399,0.7425,0.7721,0.372,0.1643,21.8,0.0,18.4393,1.882,0.728059
bookmia.01.04,,261,1.0,231.1613,231.1613,632.4293,658.6149,848.2261,1.0414,0.7456,0.7765,0.3692,0.1644,21.84,0.0,18.8085,2.082,0.710497
bookmia.01.07,,272,1.0,240.5283,240.5283,688.9739,720.3318,936.8074,1.0455,0.7354,0.7689,0.3685,0.1635,21.32,0.0,19.2768,1.907,0.74352
bookmia.01.10,,274,1.0,234.8745,234.8745,675.7893,703.8311,911.2594,1.0415,0.7416,0.7724,0.3738,0.1592,22.26,0.0,18.3974,2.229,0.735295
bookmia.01.11,,260,1.0,218.5921,218.5922,567.314,590.4554,749.7041,1.0408,0.7567,0.7876,0.4213,0.1566,28.08,0.0,17.1793,1.97,0.665271
bookmia.01.12,,303,1.0,250.3093,250.3093,703.5125,735.8542,952.9534,1.046,0.7382,0.7722,0.4312,0.165,28.71,0.0,17.4382,1.997,0.734572
bookmia.01.14,,270,1.0,234.5505,234.5506,658.4116,681.8409,883.7807,1.0356,0.745,0.7715,0.3734,0.1623,22.59,0.0,19.2826,1.934,0.727993
bookmia.01.20,,285,1.0,230.4419,230.4419,666.7684,691.7252,891.8951,1.0374,0.7476,0.7756,0.4483,0.1617,29.82,0.0,17.7142,2.09,0.721981
bookmia.01.22,,282,1.0,230.3843,230.3843,666.3772,696.7505,903.8418,1.0456,0.7373,0.7709,0.4184,0.1569,27.66,0.0,18.3943,1.963,0.753784
bookmia.01.23,,263,1.0,219.7466,219.7466,619.6927,643.7472,826.9277,1.0388,0.7494,0.7785,0.4084,0.1708,25.48,0.0,17.0529,1.881,0.705239
bookmia.01.26,,288,1.0,240.453,240.453,652.7856,674.3711,858.1582,1.0331,0.7607,0.7858,0.4229,0.1573,28.12,0.0,18.5091,2.032,0.671256
bookmia.01.27,,269,1.0,227.0147,227.0147,623.0491,645.7941,828.1813,1.0365,0.7523,0.7798,0.4171,0.1593,27.51,0.0,18.5221,1.893,0.696548
bookmia.01.31,,264,1.0,225.3377,225.3377,642.8643,671.9805,870.4427,1.0453,0.7385,0.772,0.3785,0.1544,22.73,0.0,19.1107,1.948,0.740016
bookmia.01.32,,268,1.0,232.8665,232.8665,668.627,692.9324,894.0308,1.0364,0.7479,0.7751,0.3914,0.1662,23.51,0.0,18.8859,1.98,0.721258
bookmia.01.33,,287,1.0,240.0583,240.0583,720.0708,749.0812,970.3486,1.0403,0.7421,0.772,0.4037,0.1605,25.44,0.0,18.7265,2.113,0.745175
bookmia.01.36,,269,1.0,234.9813,234.9814,655.5964,674.9634,866.9838,1.0295,0.7562,0.7785,0.3683,0.1651,21.19,0.0,18.7956,1.935,0.698548
bookmia.01.37,,268,1.0,222.4271,222.4271,636.6943,663.4298,854.2831,1.042,0.7453,0.7766,0.4089,0.1631,25.75,0.0,17.9989,2.117,0.727072
bookmia.01.39,,274,1.0,241.727,241.727,676.6392,708.0449,914.0807,1.0464,0.7402,0.7746,0.3964,0.1831,22.63,0.0,17.5974,1.928,0.734439
bookmia.01.41,,266,1.0,228.527,228.527,666.4156,691.6471,894.5433,1.0379,0.745,0.7732,0.3923,0.1638,24.06,0.0,18.8224,2.14,0.735483
