prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64,recall_n256,lcs_n256,rouge_n256,oracle_recall_n256,oracle_rouge_n256
bookmia.07.16,casino_royale,0.7767,0.852,0.6273,0.8233,0.9031,189,199,0.8233,177,0.9031,0.8233,0.9031,0.8233,177,0.9031,0.8233,0.9031,0.8233,177,0.9031,0.8233,0.9031,0.8233,177,0.9031,0.8233,0.9031
bookmia.07.17,casino_royale,0.302,0.4011,0.5064,0.7921,0.8753,0,250,0.4505,68,0.5434,0.4505,0.5434,0.6782,98,0.7731,0.6782,0.7731,0.7624,98,0.8563,0.7624,0.8563,0.7574,153,0.8596,0.7921,0.8753
bookmia.07.20,casino_royale,0.5681,0.7278,0.5089,0.7653,0.867,0,251,0.3756,80,0.5053,0.3756,0.5053,0.7042,66,0.7882,0.7042,0.7882,0.7512,92,0.8495,0.7653,0.867,0.7512,92,0.8495,0.7653,0.867
bookmia.07.24,casino_royale,0.5959,0.7003,0.7399,0.8187,0.9003,214,251,0.8187,158,0.9003,0.8187,0.9003,0.8187,158,0.9003,0.8187,0.9003,0.8187,158,0.9003,0.8187,0.9003,0.8187,158,0.9003,0.8187,0.9003
bookmia.07.25,casino_royale,0.743,0.8525,0.3101,0.6028,0.7065,0,247,0.4439,95,0.5838,0.4439,0.5838,0.4439,95,0.5753,0.4439,0.5838,0.4439,95,0.5769,0.4579,0.6016,0.6028,91,0.7065,0.6028,0.7065
bookmia.07.26,casino_royale,0.2009,0.3499,0.6439,0.7897,0.8766,0,241,0.7804,167,0.8766,0.7804,0.8766,0.7804,167,0.8766,0.7804,0.8766,0.7804,167,0.8766,0.7897,0.8766,0.7804,167,0.8766,0.7897,0.8766
bookmia.07.28,casino_royale,0.493,0.6412,0.1804,0.814,0.8974,31,66,0.6233,134,0.7226,0.6233,0.7226,0.8047,147,0.8866,0.8047,0.8866,0.814,175,0.8974,0.814,0.8974,0.814,175,0.8974,0.814,0.8974
bookmia.07.29,casino_royale,0.1866,0.3539,0.7215,0.7703,0.8672,0,256,0.5407,78,0.7043,0.5407,0.7043,0.7656,160,0.8649,0.7703,0.8672,0.7656,160,0.8649,0.7703,0.8672,0.7656,160,0.8649,0.7703,0.8672
bookmia.07.30,casino_royale,0.1238,0.2278,0.7328,0.8267,0.9022,200,255,0.2772,56,0.3956,0.2772,0.3956,0.8218,166,0.9022,0.8218,0.9022,0.8218,166,0.9022,0.8218,0.9022,0.8218,166,0.9022,0.8267,0.9022
bookmia.07.31,casino_royale,0.1359,0.27,0.588,0.7621,0.8595,0,254,0.7573,156,0.8595,0.7573,0.8595,0.7573,156,0.8595,0.7573,0.8595,0.7573,156,0.8595,0.7621,0.8595,0.7573,156,0.8595,0.7621,0.8595
