k,n,feasible_pct,feasible_eta_pct,pred_frac_mean,paid_frac_mean,forced_open_mean,recall_mean,recall_ge_0p5_pct,recall_ge_0p8_pct,agreement_pct,infeasible_but_recall_ge_0p5_n,recall_mean_feasible,recall_mean_infeasible,pred_minus_obs_mean,pred_obs_pearson,pred_obs_spearman
0.15,100,0,0,0.0,0.1804,61.69,0.0,0.0,0.0,100,0,0.0,0.0,0.0,,
0.5,100,0,0,0.0,0.3212,20.73,0.0,0.0,0.0,100,0,0.0,0.0,0.0,,
1.0,100,0,0,0.0039,0.4828,11.26,0.0,0.0,0.0,100,0,0.0,0.0,0.0039,,
3.0,100,0,0,0.9319,0.9723,3.53,0.0478,4.0,4.0,96.0,4,0.0,0.0478,0.8842,0.186,0.238
5.0,100,0,0,0.9909,0.9926,1.92,0.1967,21.0,16.0,79.0,21,0.0,0.1967,0.7941,0.158,0.188
10.0,100,34.0,43.0,0.9977,0.9978,0.67,0.5216,53.0,44.0,63.0,28,0.7379,0.4102,0.4761,0.287,0.325
20.0,100,97.0,100,0.9999,0.9999,0.03,0.7189,72.0,60.0,71.0,2,0.7168,0.7862,0.281,-0.033,-0.066
