prompt_class,k,budget_K,n_trajectories,beta_binding_frac,forced_safe_frac,active_frac,imitation_rate_nats_per_token,realised_rate_nats_per_token,prop3_lower_bound_nats,spend_nats,spend_over_cap,top1pct_of_steps_share_of_spend,frac_of_steps_for_90pct_of_spend,median_cum_spend_vs_step_slope,median_cum_spend_vs_step_r2
ordinary,0.5,100.0,500,0.50416,0.27502,0.22914,0.3167,0.3416,36.05,56.09,0.5609,0.0959,0.652,0.4829,0.9968
ordinary,1,200.0,500,0.2997,0.23091,0.06879,0.574,0.5827,82.36,92.19,0.461,0.0957,0.6233,0.7541,0.9898
ordinary,3,600.0,500,0.08376,0.06142,0.02234,0.833,0.8324,130.06,131.12,0.2185,0.0971,0.6153,0.837,0.9848
ordinary,20,4000.0,500,1e-05,1e-05,0.0,0.9085,0.9085,148.9,148.9,0.0372,0.0768,0.608,0.8292,0.9866
