n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,ge_0p01_pct
1,0.0,100,0.6615,0.8148,134.01,98.0
8,1.2044,100,0.7172,0.8186,146.55,99.0
64,3.1745,100,0.727,0.8186,148.54,99.0
-1,,100,0.3925,0.8154,,78.0
