judge,arm,crossing_sigma,crossing_k,vacuous_pct_at_crossing,bracket_lo,bracket_hi,t_max,summary
Qwen/Qwen2.5-7B-Instruct,KL,-2.0,0.6642,0.2639,0.6,0.7,200,results/utility_v6_summary.csv
microsoft/Phi-3.5-mini-instruct,KL,-2.0,5.3929,100.0,5.0,10.0,200,results/utility_v6_judge2_summary.csv
