tag,words,g_token_ids,mass_on_g,bind_rate,nv_recall,lcs_word,rouge_ge_0p5,rouge_ge_0p3,reading
w110s0,110,426,0.374594,0.2962,0.0,2.95,0,0,SUPPRESSES
w85s0,85,327,0.328654,0.25075,0.0,3.38,0,0,SUPPRESSES
w85s1,85,330,0.312992,0.251411,0.0,3.1,0,0,SUPPRESSES
w65s0,65,254,0.280672,0.21685,0.0,3.62,0,0,SUPPRESSES
w65s1,65,251,0.279694,0.2168,0.0,3.59,0,0,SUPPRESSES
w44s0,44,174,0.202086,0.14215,0.0044,5.51,0,0,SUPPRESSES
w44s1,44,170,0.185021,0.13685,0.006,5.73,0,1,SUPPRESSES
w25s0,25,98,0.125814,0.07785,0.0394,11.15,3,12,PARTIAL
w25s1,25,99,0.119914,0.07375,0.0339,10.77,1,10,PARTIAL
w10s0,10,39,0.039649,0.0232,0.1905,34.33,21,44,LEAKS
w10s1,10,40,0.033682,0.01295,0.2637,45.98,34,52,LEAKS
