prompt_class,k,frac_of_steps,frac_of_spend
protected,0.1,0.5,0.7847
protected,0.1,0.55,0.84724
protected,0.1,0.6,0.90371
protected,0.1,0.65,0.95055
protected,0.1,0.7,0.98192
protected,0.1,0.75,0.99674
protected,0.1,0.8,0.99999
protected,0.1,0.85,1.0
protected,0.1,0.9,1.0
protected,0.1,0.95,1.0
protected,0.1,1.0,1.0
protected,0.15,0.05,0.1354
protected,0.15,0.1,0.20677
protected,0.15,0.15,0.26783
protected,0.15,0.2,0.32995
protected,0.15,0.25,0.38997
protected,0.15,0.3,0.45071
protected,0.15,0.35,0.51077
protected,0.15,0.4,0.57068
protected,0.15,0.45,0.63026
protected,0.15,0.5,0.6899
protected,0.15,0.55,0.74919
protected,0.15,0.6,0.80796
protected,0.15,0.65,0.86596
protected,0.15,0.7,0.92082
protected,0.15,0.75,0.96578
protected,0.15,0.8,0.9925
protected,0.15,0.85,0.99974
protected,0.15,0.9,1.0
protected,0.15,0.95,1.0
protected,0.15,1.0,1.0
protected,0.25,0.05,0.12069
protected,0.25,0.1,0.19224
protected,0.25,0.15,0.25367
protected,0.25,0.2,0.31398
protected,0.25,0.25,0.37101
protected,0.25,0.3,0.42845
protected,0.25,0.35,0.4843
protected,0.25,0.4,0.53974
protected,0.25,0.45,0.59456
protected,0.25,0.5,0.64912
protected,0.25,0.55,0.70324
protected,0.25,0.6,0.75705
protected,0.25,0.65,0.81047
protected,0.25,0.7,0.8632
protected,0.25,0.75,0.9138
protected,0.25,0.8,0.95897
protected,0.25,0.85,0.99005
protected,0.25,0.9,0.99968
protected,0.25,0.95,1.0
protected,0.25,1.0,1.0
protected,0.5,0.05,0.12044
protected,0.5,0.1,0.2
protected,0.5,0.15,0.26803
protected,0.5,0.2,0.33063
protected,0.5,0.25,0.38798
protected,0.5,0.3,0.4434
protected,0.5,0.35,0.49733
protected,0.5,0.4,0.55067
protected,0.5,0.45,0.60385
protected,0.5,0.5,0.65646
protected,0.5,0.55,0.70825
protected,0.5,0.6,0.75904
protected,0.5,0.65,0.80792
protected,0.5,0.7,0.85426
protected,0.5,0.75,0.89712
protected,0.5,0.8,0.93557
protected,0.5,0.85,0.96808
protected,0.5,0.9,0.99162
protected,0.5,0.95,0.99991
protected,0.5,1.0,1.0
protected,1,0.05,0.17371
protected,1,0.1,0.28109
protected,1,0.15,0.36823
protected,1,0.2,0.44378
protected,1,0.25,0.51035
protected,1,0.3,0.57084
protected,1,0.35,0.62653
protected,1,0.4,0.67802
protected,1,0.45,0.72537
protected,1,0.5,0.76871
protected,1,0.55,0.8083
protected,1,0.6,0.84438
protected,1,0.65,0.87709
protected,1,0.7,0.90652
protected,1,0.75,0.93272
protected,1,0.8,0.95552
protected,1,0.85,0.9747
protected,1,0.9,0.98959
protected,1,0.95,0.99866
protected,1,1.0,1.0
protected,10,0.05,0.18274
protected,10,0.1,0.29494
protected,10,0.15,0.38474
protected,10,0.2,0.46129
protected,10,0.25,0.52837
protected,10,0.3,0.58834
protected,10,0.35,0.64249
protected,10,0.4,0.69155
protected,10,0.45,0.73624
protected,10,0.5,0.77689
protected,10,0.55,0.8139
protected,10,0.6,0.84751
protected,10,0.65,0.87797
protected,10,0.7,0.90542
protected,10,0.75,0.92992
protected,10,0.8,0.95145
protected,10,0.85,0.96996
protected,10,0.9,0.985
protected,10,0.95,0.99564
protected,10,1.0,1.0
protected,20,0.05,0.18333
protected,20,0.1,0.29561
protected,20,0.15,0.38548
protected,20,0.2,0.46205
protected,20,0.25,0.52917
protected,20,0.3,0.58914
