prompt_class,k,frac_of_steps,frac_of_spend
ordinary,0.5,0.05,0.24658
ordinary,0.5,0.1,0.3777
ordinary,0.5,0.15,0.4772
ordinary,0.5,0.2,0.55837
ordinary,0.5,0.25,0.62698
ordinary,0.5,0.3,0.68589
ordinary,0.5,0.35,0.73693
ordinary,0.5,0.4,0.78137
ordinary,0.5,0.45,0.82015
ordinary,0.5,0.5,0.85401
ordinary,0.5,0.55,0.88336
ordinary,0.5,0.6,0.90868
ordinary,0.5,0.65,0.93036
ordinary,0.5,0.7,0.94864
ordinary,0.5,0.75,0.96382
ordinary,0.5,0.8,0.97616
ordinary,0.5,0.85,0.98588
ordinary,0.5,0.9,0.99315
ordinary,0.5,0.95,0.99808
ordinary,0.5,1.0,1.0
ordinary,1,0.05,0.26122
ordinary,1,0.1,0.39415
ordinary,1,0.15,0.49293
ordinary,1,0.2,0.57257
ordinary,1,0.25,0.63935
ordinary,1,0.3,0.69632
ordinary,1,0.35,0.74553
ordinary,1,0.4,0.78849
ordinary,1,0.45,0.826
ordinary,1,0.5,0.8588
ordinary,1,0.55,0.8872
ordinary,1,0.6,0.91169
ordinary,1,0.65,0.93256
ordinary,1,0.7,0.95016
ordinary,1,0.75,0.96479
ordinary,1,0.8,0.97668
ordinary,1,0.85,0.98603
ordinary,1,0.9,0.99301
ordinary,1,0.95,0.9978
ordinary,1,1.0,1.0
ordinary,20,0.05,0.26149
ordinary,20,0.1,0.3938
ordinary,20,0.15,0.49191
ordinary,20,0.2,0.57117
ordinary,20,0.25,0.63753
ordinary,20,0.3,0.69436
ordinary,20,0.35,0.74352
ordinary,20,0.4,0.78637
ordinary,20,0.45,0.8238
ordinary,20,0.5,0.85651
ordinary,20,0.55,0.88496
ordinary,20,0.6,0.90959
ordinary,20,0.65,0.93065
ordinary,20,0.7,0.94857
ordinary,20,0.75,0.9635
ordinary,20,0.8,0.97568
ordinary,20,0.85,0.98527
ordinary,20,0.9,0.99249
ordinary,20,0.95,0.99748
ordinary,20,1.0,1.0
ordinary,3,0.05,0.26128
ordinary,3,0.1,0.39363
ordinary,3,0.15,0.49185
ordinary,3,0.2,0.57121
ordinary,3,0.25,0.63767
ordinary,3,0.3,0.69454
ordinary,3,0.35,0.74375
ordinary,3,0.4,0.78662
ordinary,3,0.45,0.82405
ordinary,3,0.5,0.85674
ordinary,3,0.55,0.88515
ordinary,3,0.6,0.90973
ordinary,3,0.65,0.93074
ordinary,3,0.7,0.94861
ordinary,3,0.75,0.96352
ordinary,3,0.8,0.97568
ordinary,3,0.85,0.98527
ordinary,3,0.9,0.9925
ordinary,3,0.95,0.99748
ordinary,3,1.0,1.0
