n,prompts,closed_form_kl,closed_form_dinf,frac_prompts_top_tied,mean_top_tie_size,exact_when_tie_free,mean_empirical_F_at_winner
2,500,0.193147,0.693147,0.05,1.05,yes,0.475
4,500,0.636294,1.386294,0.116,1.166,yes,0.7085
8,500,1.204442,2.079442,0.138,1.336,yes,0.833
16,500,1.835089,2.772589,0.112,1.326,yes,0.917125
32,500,2.496986,3.465736,0.092,1.276,yes,0.960125
64,500,3.174508,4.158883,0.07,1.308,yes,0.979563
