arm,prompt_id,n_facts,n_supported,precision,abstained
sel64,fact_00003_Fernando da Costa Novaes,8,0,0.0,0
sel64,fact_00006_David Galloway (writer),11,0,0.0,0
sel64,fact_00007_Cheyenne Brando,17,0,0.0,0
sel64,fact_00012_Braulio Lara,6,0,0.0,0
sel64,fact_00015_Amr Shabana,12,1,0.083333,0
sel64,fact_00017_Abdulqawi Yusuf,16,1,0.0625,0
sel64,fact_00025_Carlos P. Romulo,13,1,0.076923,0
sel64,fact_00027_Arthur Ewert,8,0,0.0,0
sel64,fact_00032_Flavio Méndez Santiago,11,0,0.0,0
sel64,fact_00039_Chris Duffield,13,0,0.0,0
sel64,fact_00040_Daniil Medvedev,15,0,0.0,0
sel64,fact_00043_Alexander Vovin,9,0,0.0,0
sel64,fact_00044_Cobhams Asuquo,9,2,0.222222,0
sel64,fact_00045_David Bogue,11,0,0.0,0
sel64,fact_00048_Don Beard,2,0,0.0,0
sel64,fact_00053_Andriy Yarmolenko,11,0,0.0,0
sel64,fact_00058_Danny Faure,5,0,0.0,0
sel64,fact_00063_Ayman al-Zawahiri,6,0,0.0,0
sel64,fact_00064_Diego Suarez (garden designer),10,0,0.0,0
sel64,fact_00066_Daniel Alexander Cameron,14,0,0.0,0
sel64,fact_00075_Antonio Leviste,8,0,0.0,0
sel64,fact_00078_Chi Pu,6,1,0.166667,0
sel64,"fact_00080_Felipe (footballer, born 1977)",6,0,0.0,0
sel64,fact_00084_Alfred Hitchcock,0,0,,1
sel64,fact_00085_Dascha Polanco,7,1,0.142857,0
sel64,fact_00086_Amelia Earhart,0,0,,1
sel64,fact_00087_Chris John (boxer),8,1,0.125,0
sel64,fact_00088_Blair Tugman,8,0,0.0,0
sel64,fact_00093_David Oyite-Ojok,11,0,0.0,0
sel64,fact_00097_Chris Cuomo,0,0,,1
sel64,fact_00098_Adnan Sami,11,0,0.0,0
sel64,fact_00108_Bhuma Nagi Reddy,17,0,0.0,0
sel64,fact_00109_Charmion King,22,0,0.0,0
sel64,fact_00110_Andreea Marin,12,0,0.0,0
sel64,fact_00114_Ahn Jae-hyun,8,1,0.125,0
sel64,fact_00116_Bobo Baldé,11,0,0.0,0
sel64,fact_00118_Chacho Gaytán,6,0,0.0,0
sel64,fact_00119_Bastian Schweinsteiger,0,0,,1
sel64,fact_00120_Erich Hartmann,15,0,0.0,0
sel64,fact_00127_Ezechiel N'Douassel,12,0,0.0,0
sel64,fact_00131_Aditya Kalyanpur,13,0,0.0,0
sel64,fact_00132_Dennis Andersson,4,0,0.0,0
sel64,fact_00133_Daniel Bedingfield,12,0,0.0,0
sel64,fact_00134_Celâl Bayar,6,0,0.0,0
sel64,fact_00138_Diana Ivanova,17,2,0.117647,0
sel64,fact_00140_André Le Nôtre,0,0,,1
sel64,fact_00142_Cierre Wood,8,0,0.0,0
sel64,fact_00145_Carmelo Anthony,10,0,0.0,0
sel64,fact_00146_Asafa Powell,0,0,,1
sel64,fact_00152_Felix Newman,3,0,0.0,0
sel64,fact_00154_Earl Garrison,4,0,0.0,0
sel64,fact_00162_Aleksandar Kolarov,0,0,,1
sel64,fact_00163_Alexandre Hohagen,7,0,0.0,0
sel64,fact_00166_Emcee N.I.C.E.,20,1,0.05,0
sel64,fact_00181_Chris Woakes,0,0,,1
sel64,fact_00182_Diosdado Cabello,0,0,,1
sel64,fact_00184_Dana Awartani,7,0,0.0,0
sel64,fact_00185_Brianna Keilar,11,0,0.0,0
sel64,fact_00188_Cédric Bakambu,13,0,0.0,0
sel64,fact_00193_Bobby Fischer,0,0,,1
sel64,fact_00198_Benjamin Lawrence Reid,11,0,0.0,0
sel64,fact_00199_Djimon Hounsou,9,0,0.0,0
sel64,fact_00202_Ahsee Tuala,14,0,0.0,0
sel64,fact_00204_Don DeLillo,18,5,0.277778,0
sel64,fact_00207_Elizabeth Inglis,13,0,0.0,0
sel64,fact_00208_Fifi Cooper,3,0,0.0,0
sel64,fact_00223_Ahmed Mumin Warfa,8,0,0.0,0
sel64,fact_00226_Dewi Sartika,17,0,0.0,0
sel64,fact_00227_Alf Garland,6,0,0.0,0
sel64,fact_00230_Abdul Ilah Khatib,12,0,0.0,0
sel64,fact_00239_Bif Naked,0,0,,1
sel64,fact_00245_Dominique Blake,5,1,0.2,0
sel64,fact_00247_Diafra Sakho,0,0,,1
sel64,fact_00249_Fahadh Faasil,2,0,0.0,0
sel64,fact_00250_Dr. Dre,17,7,0.411765,0
sel64,fact_00255_Caitlin Lowe,15,1,0.066667,0
sel64,fact_00257_Camille Paulus,3,0,0.0,0
sel64,fact_00258_Charley Boorman,9,0,0.0,0
sel64,fact_00260_Douglas Wood (engineer),5,0,0.0,0
sel64,fact_00263_Billy Snedden,0,0,,1
sel64,fact_00264_Esteban Espíndola,3,0,0.0,0
sel64,fact_00270_Daniel Ek,14,1,0.071429,0
sel64,fact_00275_Belisarius,6,1,0.166667,0
sel64,fact_00276_Carol Dweck,6,3,0.5,0
sel64,fact_00286_Amr Diab,10,2,0.2,0
sel64,fact_00296_Akbar Hossain,12,0,0.0,0
sel64,fact_00300_Coco Chanel,8,4,0.5,0
sel64,fact_00302_Enamul Haque (engineer),4,0,0.0,0
sel64,fact_00304_Abdelhamid Shabana,3,0,0.0,0
sel64,fact_00307_Abdullahi Mohammad Ahmad Hassan,10,0,0.0,0
sel64,fact_00309_Diego Godín,7,0,0.0,0
sel64,fact_00312_Adel Emam,4,0,0.0,0
sel64,fact_00315_Billy Conigliaro,20,0,0.0,0
sel64,fact_00316_Arif Mohammad Khan,12,0,0.0,0
sel64,fact_00321_Bob Marley,10,3,0.3,0
sel64,fact_00328_Dana Ashbrook,17,0,0.0,0
sel64,fact_00332_Cha Eun-woo,12,1,0.083333,0
sel64,fact_00333_Abdul Halik Hudu,0,0,,1
sel64,fact_00335_Carl Braun (obstetrician),0,0,,1
sel64,fact_00343_Ameyaw Debrah,11,0,0.0,0
