judge,selector,n,kl_nats,n_prompts,u,u_lo95,u_hi95,gain,gain_lo95,gain_hi95,mean_words,spearman_u_logn
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.458,0.424,0.492,0.0,0.0,0.0,79.7,0.9487
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.467,0.433,0.502,0.009,-0.02,0.039,76.1,0.9487
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.467,0.434,0.502,0.009,-0.023,0.042,72.5,0.9487
Phi-3.5-mini-instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.484,0.448,0.52,0.026,-0.01,0.063,77.0,0.9487
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),1,0.0,500,0.438,0.395,0.483,0.0,0.0,0.0,79.7,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),2,0.1931,500,0.484,0.442,0.528,0.046,0.018,0.074,76.1,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),4,0.6363,500,0.52,0.475,0.561,0.082,0.044,0.119,72.5,1.0
Meta-Llama-3.1-8B-Instruct,pointwise reward (Qwen2.5-7B),8,1.2044,500,0.551,0.508,0.594,0.113,0.069,0.157,77.0,1.0
