pair,temperature,n,s_safe_median,s_risky_median,sr_over_ss_median,pred_onset_median,pred_ratio_median,req_q01,req_q05,req_q10,req_q25,req_median,measured_onset,measured_ratio,pred_over_meas_median,pred_over_meas_q25
KL3M-520M + mem. KL3M-520M (Gutenberg),1.0,100,2.36652724387031,0.14866119629386915,0.06281829067420448,2.217866047576441,0.9371817093257955,1.7268815113759357,1.7946883418135182,1.8679652847137027,2.0227010278119253,2.2083213836070703,,,,
Pleias-1.2B + mem. Pleias-1.2B (Gutenberg),1.0,100,2.808696087310057,0.34526684352839526,0.12292780450271644,2.4634292437816616,0.8770721954972835,1.3112892437417276,1.7779561101869017,1.9565414490929398,2.2037399500108408,2.47968513791097,,,,
Phi-3.5-mini + mem. Phi-3.5-mini (Gutenberg),1.0,100,2.848814727862223,0.03624772704244239,0.012723792350527134,2.8125670008197803,0.9872762076494729,1.6749950424186486,1.851499242895346,2.1701321394406947,2.378220625250488,2.6891142158162227,,,,
