temperature,repetition_penalty,k,K,n,vacuous_pct,cap_median,S_per_tok_median,S_total_median
0.3,1.0,0.1,20.0,758,0.0,0.0454,6.9552,444.8
0.3,1.0,0.15,30.0,758,0.0,0.068,6.9552,444.8
0.3,1.0,0.25,50.0,758,0.0,0.1132,6.9552,444.8
0.3,1.0,0.5,100.0,758,0.0,0.226,6.9552,444.8
0.3,1.0,1.0,200.0,758,0.0,0.4512,6.9552,444.8
0.3,1.0,1.5,300.0,758,4.22,0.6758,6.9552,444.8
0.3,1.0,3.0,600.0,758,94.06,1.0,6.9552,444.8
0.3,1.0,5.0,1000.0,758,100.0,1.0,6.9552,444.8
0.3,1.0,10.0,2000.0,758,100.0,1.0,6.9552,444.8
0.3,1.0,20.0,4000.0,758,100.0,1.0,6.9552,444.8
0.3,1.1,0.1,20.0,758,0.0,0.0479,6.5335,421.1
0.3,1.1,0.15,30.0,758,0.0,0.0718,6.5335,421.1
0.3,1.1,0.25,50.0,758,0.0,0.1196,6.5335,421.1
0.3,1.1,0.5,100.0,758,0.0,0.2388,6.5335,421.1
0.3,1.1,1.0,200.0,758,0.0,0.4765,6.5335,421.1
0.3,1.1,1.5,300.0,758,6.99,0.7138,6.5335,421.1
0.3,1.1,3.0,600.0,758,97.36,1.0,6.5335,421.1
0.3,1.1,5.0,1000.0,758,100.0,1.0,6.5335,421.1
0.3,1.1,10.0,2000.0,758,100.0,1.0,6.5335,421.1
0.3,1.1,20.0,4000.0,758,100.0,1.0,6.5335,421.1
0.5,1.0,0.1,20.0,758,0.0,0.0705,4.4878,287.2
0.5,1.0,0.15,30.0,758,0.0,0.1056,4.4878,287.2
0.5,1.0,0.25,50.0,758,0.0,0.1757,4.4878,287.2
0.5,1.0,0.5,100.0,758,0.0,0.3505,4.4878,287.2
0.5,1.0,1.0,200.0,758,4.88,0.6986,4.4878,287.2
0.5,1.0,1.5,300.0,758,60.42,1.0,4.4878,287.2
0.5,1.0,3.0,600.0,758,100.0,1.0,4.4878,287.2
0.5,1.0,5.0,1000.0,758,100.0,1.0,4.4878,287.2
0.5,1.0,10.0,2000.0,758,100.0,1.0,4.4878,287.2
0.5,1.0,20.0,4000.0,758,100.0,1.0,4.4878,287.2
0.5,1.1,0.1,20.0,758,0.0,0.073,4.302,277.7
0.5,1.1,0.15,30.0,758,0.0,0.1093,4.302,277.7
0.5,1.1,0.25,50.0,758,0.0,0.1818,4.302,277.7
0.5,1.1,0.5,100.0,758,0.0,0.3625,4.302,277.7
