pair,n_grid,k_minus1_recall,k_zero_recall,entered,s_safe,s_risky,onset_lo,onset_hi,onset,ratio,pred_onset,pred_ratio,req_q25,req_q10,req_median,pred_over_meas,copybench_ratio,copybench_onset,grid,p2_between_q10_and_median
KL3M-520M + mem. KL3M-520M (BookMIA),11,0.7326,0.0,True,2.4316,0.2345,2.3,2.5,2.4653,1.0138,2.1971,0.9036,2.0006,1.8651,2.172,0.8912,1.0531,2.5429,1.2:0.000 1.6:0.001 1.9:0.000 2.1:0.000 2.3:0.000 2.5:0.012 2.7:0.031 2.9:0.060 3.2:0.073 3.6:0.116 4.2:0.203,False
Pleias-1.2B + mem. Pleias-1.2B (BookMIA),11,0.1504,0.0,True,3.0481,0.4346,3.6,4.2,4.0071,1.3146,2.6135,0.8574,2.2418,1.9466,2.5688,0.6522,0.8784,2.819,1.2:0.000 1.6:0.000 1.9:0.000 2.1:0.000 2.3:0.000 2.5:0.001 2.7:0.001 2.9:0.000 3.2:0.006 3.6:0.006 4.2:0.012,False
Phi-3.5-mini + mem. Phi-3.5-mini (BookMIA),11,0.4425,0.0,True,2.6283,0.0094,2.5,2.7,2.6075,0.9921,2.6189,0.9964,2.2852,1.9558,2.5723,1.0044,0.9261,2.6277,1.2:0.000 1.6:0.000 1.9:0.002 2.1:0.000 2.3:0.004 2.5:0.003 2.7:0.016 2.9:0.024 3.2:0.003 3.6:0.020 4.2:0.088,False
