published_k,alpha,k_matched,price_nats,logp_target,nats_per_window,off_grid
1.0,1.0,1.0,6577.99,-4236.681,0.0,False
1.0,2.0,1.963,6577.99,-5116.068,6.74,False
1.0,4.0,3.0147,6577.99,-5028.382,6.068,False
1.0,8.0,3.8831,6577.99,-4283.572,0.359,False
3.0,1.0,3.0,7689.878,-1391.119,0.0,False
3.0,2.0,5.3791,7689.878,-1478.256,0.668,False
3.0,4.0,6.895,7689.878,-1228.94,-1.243,False
3.0,8.0,7.4803,7689.878,-1026.677,-2.793,False
