n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,rouge_l_mean,rouge_ge_0p3_pct,rouge_ge_0p5_pct,ge_0p01_pct
1,0.0,100,0.347,0.8246,54.53,0.483,70.0,41.0,83.0
8,1.2044,100,0.5614,0.8246,88.28,0.6763,93.0,77.0,95.0
64,3.1745,100,0.6522,0.8246,106.15,0.764,94.0,91.0,98.0
256,4.5491,100,0.6994,0.8246,114.58,0.8044,96.0,94.0,97.0
-1,,100,0.4209,0.8307,,0.5533,75.0,55.0,81.0
