prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,anchor_max_rouge,pool_ge_0p8,pool_ge_0p01,recall_n1,lcs_n1,rouge_n1,oracle_recall_n1,oracle_rouge_n1,recall_n8,lcs_n8,rouge_n8,oracle_recall_n8,oracle_rouge_n8,recall_n64,lcs_n64,rouge_n64,oracle_recall_n64,oracle_rouge_n64,recall_n256,lcs_n256,rouge_n256,oracle_recall_n256,oracle_rouge_n256
bookmia.00.11,1984,0.3168,0.4213,0.438,0.7376,0.849,0,253,0.5792,71,0.7898,0.5792,0.7898,0.7376,120,0.8409,0.7376,0.8409,0.7376,149,0.849,0.7376,0.849,0.7376,149,0.849,0.7376,0.849
bookmia.00.26,1984,0.8246,0.8779,0.6524,0.7062,0.8287,0,254,0.7014,148,0.8245,0.7014,0.8245,0.7014,148,0.8245,0.7014,0.8245,0.7014,148,0.8245,0.7062,0.8287,0.7014,148,0.8245,0.7062,0.8287
bookmia.00.31,1984,0.1211,0.2156,0.1957,0.7316,0.8399,0,119,0.2,38,0.3353,0.2,0.3353,0.7105,135,0.8364,0.7105,0.8364,0.7105,135,0.8364,0.7316,0.8364,0.7105,135,0.8364,0.7316,0.8399
bookmia.00.40,1984,0.2892,0.4247,0.6322,0.7059,0.8218,0,254,0.3284,67,0.4565,0.3284,0.4565,0.6961,142,0.8184,0.7059,0.8195,0.6961,142,0.8184,0.7059,0.8218,0.6961,142,0.8184,0.7059,0.8218
bookmia.00.46,1984,0.7383,0.8564,0.6701,0.729,0.8401,0,253,0.7243,155,0.8401,0.7243,0.8401,0.7243,155,0.8401,0.729,0.8401,0.7243,155,0.8401,0.729,0.8401,0.7243,155,0.8401,0.729,0.8401
bookmia.00.48,1984,0.1643,0.3194,0.6002,0.7183,0.8361,0,248,0.6103,130,0.7527,0.6103,0.7527,0.7183,153,0.8361,0.7183,0.8361,0.7183,153,0.8361,0.7183,0.8361,0.7183,153,0.8361,0.7183,0.8361
bookmia.00.64,1984,0.0,0.1755,0.654,0.7097,0.8248,0,252,0.3318,40,0.4548,0.3318,0.4548,0.7005,152,0.8238,0.7097,0.8248,0.7005,152,0.8238,0.7097,0.8248,0.7005,152,0.8238,0.7097,0.8248
bookmia.00.71,1984,0.2911,0.4831,0.1977,0.338,0.5,0,242,0.2207,47,0.3743,0.2207,0.3743,0.2207,47,0.3599,0.2207,0.4368,0.2207,47,0.3295,0.338,0.4633,0.338,47,0.5,0.338,0.5
bookmia.01.00,a_game_of_thrones,0.0,0.224,0.3644,0.6761,0.8034,0,211,0.1408,30,0.3324,0.1408,0.3324,0.5728,92,0.6912,0.5962,0.7416,0.6761,109,0.7978,0.6761,0.7978,0.6714,143,0.8034,0.6761,0.8034
bookmia.01.01,a_game_of_thrones,0.7005,0.8076,0.006,0.4332,0.6118,0,6,0.0,15,0.2493,0.0,0.2493,0.0,15,0.2592,0.0,0.2592,0.0,15,0.1813,0.0,0.3699,0.4332,49,0.6118,0.4332,0.6118
bookmia.01.02,a_game_of_thrones,0.1364,0.2493,0.5552,0.6818,0.8048,0,250,0.6313,125,0.7734,0.6313,0.7734,0.6313,125,0.7697,0.6667,0.7855,0.6717,133,0.8012,0.6768,0.8048,0.6717,133,0.8012,0.6818,0.8048
