k,n,feasible_pct,feasible_eta_pct,pred_frac_mean,paid_frac_mean,forced_open_mean,recall_mean,recall_ge_0p5_pct,recall_ge_0p8_pct
0.15,100,0,0,0.0,0.3443,2.64,,,
0.5,100,0,0,0.0,0.477,1.34,,,
1,100,0,0,0.0053,0.6058,0.81,,,
3,100,28.0,58.0,0.9887,0.9962,0.45,,,
5,100,74.0,86.0,0.999,0.9994,0.27,,,
10,100,97.0,99.0,0.9999,0.9999,0.03,,,
20,100,100,100,1.0,1.0,0,,,
