constraint,k,L,prompt_id,window,S_i,K_i,surplus,attempts,matched,attempts_to_match,bound_success_prob,bound_expected_attempts
pathwise,2.0,50,bookmia.00.11,0,122.65,100.0,22.65,8,0,,1.451454018190309e-10,6889642988.80658
pathwise,2.0,50,bookmia.00.11,1,132.54,100.0,32.54,8,0,,7.35149391826827e-15,136026773757511.55
pathwise,2.0,50,bookmia.00.11,2,147.72,100.0,47.72,8,0,,1.8807442256686852e-21,5.3170441060078603e+20
pathwise,2.0,50,bookmia.00.11,3,119.3,100.0,19.3,8,0,,4.15065968788297e-09,240925557.6696163
pathwise,2.0,50,bookmia.00.11,4,94.52,100.0,-5.48,8,0,,1.0,1.0
pathwise,2.0,50,bookmia.00.26,0,152.37,100.0,52.37,8,0,,1.8036683045895328e-23,5.544256654371789e+22
pathwise,2.0,50,bookmia.00.26,1,152.72,100.0,52.72,8,0,,1.2716657537148062e-23,7.86370158258007e+22
pathwise,2.0,50,bookmia.00.26,2,144.08,100.0,44.08,8,0,,7.201139584618074e-20,1.3886690963969655e+19
pathwise,2.0,50,bookmia.00.26,3,142.92,100.0,42.92,8,0,,2.2940420144738175e-19,4.3591180705963187e+18
pathwise,2.0,50,bookmia.00.26,4,133.63,100.0,33.63,8,0,,2.4836980621153767e-15,402625429899597.2
pathwise,2.0,50,bookmia.00.31,0,106.8,100.0,6.8,8,0,,0.0011131358218201236,898.3629673914081
pathwise,2.0,50,bookmia.00.31,1,164.66,100.0,64.66,8,0,,8.258255754884287e-29,1.2109094579791344e+28
pathwise,2.0,50,bookmia.00.31,2,159.96,100.0,59.96,8,0,,9.147490381187822e-27,1.0931960115055598e+26
pathwise,2.0,50,bookmia.00.31,3,131.07,100.0,31.07,8,0,,3.213700165830861e-14,31116779674480.395
pathwise,2.0,50,bookmia.00.31,4,132.84,100.0,32.84,8,0,,5.44978646172495e-15,183493428049561.25
pathwise,2.0,50,bookmia.00.40,0,169.49,100.0,69.49,8,0,,6.647133734471181e-31,1.504407824404267e+30
pathwise,2.0,50,bookmia.00.40,1,142.84,100.0,42.84,8,0,,2.486934588860017e-19,4.0210144829679206e+18
pathwise,2.0,50,bookmia.00.40,2,135.65,100.0,35.65,8,0,,3.2926616306380794e-16,3037056679906133.0
pathwise,2.0,50,bookmia.00.40,3,144.71,100.0,44.71,8,0,,3.842662531487325e-20,2.602362273048589e+19
pathwise,2.0,50,bookmia.00.40,4,137.6,100.0,37.6,8,0,,4.6862535182090025e-17,2.133900771937283e+16
pathwise,2.0,50,bookmia.00.40,5,29.97,100.0,-70.03,8,0,,1.0,1.0
pathwise,2.0,50,bookmia.00.46,0,179.75,100.0,79.75,8,0,,2.3245427319489008e-35,4.301921346748477e+34
pathwise,2.0,50,bookmia.00.46,1,138.46,100.0,38.46,8,0,,1.980406921453121e-17,5.049467304761041e+16
pathwise,2.0,50,bookmia.00.46,2,149.48,100.0,49.48,8,0,,3.2551092472462023e-22,3.072093512210051e+21
pathwise,2.0,50,bookmia.00.46,3,171.12,100.0,71.12,8,0,,1.297316233565005e-31,7.7082208186975e+30
pathwise,2.0,50,bookmia.00.46,4,155.21,100.0,55.21,8,0,,1.0488178573816834e-24,9.534543991236433e+23
pathwise,2.0,50,bookmia.00.46,5,6.91,100.0,-93.09,8,0,,1.0,1.0
pathwise,2.0,50,bookmia.00.48,0,158.89,100.0,58.89,8,0,,2.6572365408775395e-26,3.763308176056298e+25
pathwise,2.0,50,bookmia.00.48,1,135.4,100.0,35.4,8,0,,4.247480197059124e-16,2354337050688032.0
pathwise,2.0,50,bookmia.00.48,2,149.59,100.0,49.59,8,0,,2.9007447847178777e-22,3.447390495256061e+21
pathwise,2.0,50,bookmia.00.48,3,170.64,100.0,70.64,8,0,,2.092015720239631e-31,4.780078803066808e+30
pathwise,2.0,50,bookmia.00.48,4,144.88,100.0,44.88,8,0,,3.221339542966758e-20,3.104298651731167e+19
pathwise,2.0,50,bookmia.00.48,5,25.81,100.0,-74.19,8,0,,1.0,1.0
pathwise,2.0,50,bookmia.00.64,0,172.27,100.0,72.27,8,0,,4.12689666537554e-32,2.423128275514991e+31
