alpha,k,split,n_protected,n_ordinary,ordinary_split,price_nats,price_frac_ceiling,logp_target,logp_per_token,n_tokens,logp_target_risky,logp_target_safe
1.0,0.5,attack_train,25,25,neutral,5406.205,0.6915,-6431.267,-0.9858,6524,-322.148,-18337.323
1.0,0.75,attack_train,25,25,neutral,6107.832,0.7813,-5132.247,-0.7867,6524,-322.148,-18337.323
1.0,1.0,attack_train,25,25,neutral,6577.99,0.8414,-4236.681,-0.6494,6524,-322.148,-18337.323
1.0,1.5,attack_train,25,25,neutral,7144.639,0.9139,-3051.483,-0.4677,6524,-322.148,-18337.323
1.0,2.0,attack_train,25,25,neutral,7441.926,0.9519,-2293.424,-0.3515,6524,-322.148,-18337.323
1.0,2.5,attack_train,25,25,neutral,7601.847,0.9724,-1770.467,-0.2714,6524,-322.148,-18337.323
1.0,3.0,attack_train,25,25,neutral,7689.878,0.9837,-1391.119,-0.2132,6524,-322.148,-18337.323
1.0,4.0,attack_train,25,25,neutral,7767.97,0.9936,-903.189,-0.1384,6524,-322.148,-18337.323
1.0,5.5,attack_train,25,25,neutral,7803.06,0.9981,-543.556,-0.0833,6524,-322.148,-18337.323
1.0,7.5,attack_train,25,25,neutral,7814.646,0.9996,-365.643,-0.056,6524,-322.148,-18337.323
1.0,10.0,attack_train,25,25,neutral,7817.273,0.9999,-326.168,-0.05,6524,-322.148,-18337.323
1.0,14.0,attack_train,25,25,neutral,7817.692,1.0,-312.231,-0.0479,6524,-322.148,-18337.323
2.0,0.5,attack_train,25,25,neutral,4207.053,0.5381,-9531.046,-1.4609,6524,-322.148,-18337.323
2.0,0.75,attack_train,25,25,neutral,4888.98,0.6254,-8356.037,-1.2808,6524,-322.148,-18337.323
2.0,1.0,attack_train,25,25,neutral,5399.23,0.6906,-7456.209,-1.1429,6524,-322.148,-18337.323
2.0,1.5,attack_train,25,25,neutral,6125.683,0.7836,-6084.977,-0.9327,6524,-322.148,-18337.323
2.0,2.0,attack_train,25,25,neutral,6614.102,0.846,-5038.712,-0.7723,6524,-322.148,-18337.323
2.0,2.5,attack_train,25,25,neutral,6956.225,0.8898,-4192.814,-0.6427,6524,-322.148,-18337.323
2.0,3.0,attack_train,25,25,neutral,7202.058,0.9213,-3493.549,-0.5355,6524,-322.148,-18337.323
2.0,4.0,attack_train,25,25,neutral,7505.237,0.96,-2419.696,-0.3709,6524,-322.148,-18337.323
2.0,5.5,attack_train,25,25,neutral,7706.07,0.9857,-1395.695,-0.2139,6524,-322.148,-18337.323
2.0,7.5,attack_train,25,25,neutral,7790.218,0.9965,-695.198,-0.1066,6524,-322.148,-18337.323
2.0,10.0,attack_train,25,25,neutral,7812.393,0.9993,-410.11,-0.0629,6524,-322.148,-18337.323
2.0,14.0,attack_train,25,25,neutral,7817.692,1.0,-313.679,-0.0481,6524,-322.148,-18337.323
4.0,0.5,attack_train,25,25,neutral,3208.038,0.4104,-12029.25,-1.8438,6524,-322.148,-18337.323
4.0,0.75,attack_train,25,25,neutral,3831.077,0.4901,-10956.263,-1.6794,6524,-322.148,-18337.323
4.0,1.0,attack_train,25,25,neutral,4334.807,0.5545,-10041.837,-1.5392,6524,-322.148,-18337.323
4.0,1.5,attack_train,25,25,neutral,5125.612,0.6556,-8482.45,-1.3002,6524,-322.148,-18337.323
4.0,2.0,attack_train,25,25,neutral,5724.985,0.7323,-7164.882,-1.0982,6524,-322.148,-18337.323
4.0,2.5,attack_train,25,25,neutral,6194.56,0.7924,-6028.926,-0.9241,6524,-322.148,-18337.323
4.0,3.0,attack_train,25,25,neutral,6570.119,0.8404,-5051.205,-0.7742,6524,-322.148,-18337.323
4.0,4.0,attack_train,25,25,neutral,7105.131,0.9089,-3499.866,-0.5365,6524,-322.148,-18337.323
4.0,5.5,attack_train,25,25,neutral,7542.981,0.9649,-1975.172,-0.3028,6524,-322.148,-18337.323
4.0,7.5,attack_train,25,25,neutral,7753.583,0.9918,-905.317,-0.1388,6524,-322.148,-18337.323
4.0,10.0,attack_train,25,25,neutral,7807.069,0.9986,-466.002,-0.0714,6524,-322.148,-18337.323
4.0,14.0,attack_train,25,25,neutral,7817.687,1.0,-316.328,-0.0485,6524,-322.148,-18337.323
8.0,0.5,attack_train,25,25,neutral,2470.33,0.316,-13679.442,-2.0968,6524,-322.148,-18337.323
8.0,0.75,attack_train,25,25,neutral,3047.611,0.3898,-12598.805,-1.9311,6524,-322.148,-18337.323
8.0,1.0,attack_train,25,25,neutral,3538.958,0.4527,-11614.615,-1.7803,6524,-322.148,-18337.323
8.0,1.5,attack_train,25,25,neutral,4347.1,0.5561,-9860.211,-1.5114,6524,-322.148,-18337.323
8.0,2.0,attack_train,25,25,neutral,4992.738,0.6386,-8343.974,-1.279,6524,-322.148,-18337.323
8.0,2.5,attack_train,25,25,neutral,5524.032,0.7066,-7025.448,-1.0769,6524,-322.148,-18337.323
8.0,3.0,attack_train,25,25,neutral,5969.841,0.7636,-5885.334,-0.9021,6524,-322.148,-18337.323
8.0,4.0,attack_train,25,25,neutral,6658.532,0.8517,-4071.438,-0.6241,6524,-322.148,-18337.323
8.0,5.5,attack_train,25,25,neutral,7309.796,0.935,-2280.004,-0.3495,6524,-322.148,-18337.323
8.0,7.5,attack_train,25,25,neutral,7693.659,0.9841,-1014.208,-0.1555,6524,-322.148,-18337.323
8.0,10.0,attack_train,25,25,neutral,7800.885,0.9979,-495.301,-0.0759,6524,-322.148,-18337.323
8.0,14.0,attack_train,25,25,neutral,7817.662,1.0,-317.756,-0.0487,6524,-322.148,-18337.323
