n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,ge_0p01_pct
1,0.0,100,0.4799,0.7725,87.13,85.0
8,1.2044,100,0.6307,0.8,116.19,97.0
64,3.1745,100,0.6679,0.8,125.6,99.0
-1,,100,0.3925,0.8154,,78.0
