k,constraint,split,n,T_mean,V_median,V_p90,V_p99,b_median,b_p90,b_p99,b_max,M_mean,M_p95,M_max,L_gt_K_pct,emp_P_M_ge_10,delta_10_cap_p90,delta_10_cap_p99,delta_10_cap_max,emp_P_M_ge_25,delta_25_cap_p90,delta_25_cap_p99,delta_25_cap_max,emp_P_M_ge_50,delta_50_cap_p90,delta_50_cap_p99,delta_50_cap_max,emp_P_M_ge_100,delta_100_cap_p90,delta_100_cap_p99,delta_100_cap_max
3.0,kl,factual,450,200,321.98,420.24,537.2,15.74,18.62,21.13,28.66,0.91,28.77,56.37,0.0,0.3311,0.9015,0.921,0.9415,0.0911,0.581,0.6452,0.7252,0.0089,0.1807,0.2452,0.3563,0.0,0.0082,0.0178,0.0518
3.0,kl,neutral,600,200,332.28,432.62,535.85,15.91,19.53,22.98,26.54,1.27,29.56,51.49,0.0,0.285,0.9044,0.9216,0.9374,0.0833,0.5916,0.6508,0.7084,0.0017,0.1923,0.2566,0.33,0.0,0.0099,0.0215,0.0414
3.0,kl,test,450,200,361.97,458.17,528.38,14.97,18.7,23.51,26.18,1.44,31.06,56.8,0.0,0.3333,0.9084,0.9209,0.9372,0.1067,0.6011,0.6496,0.7072,0.0067,0.1972,0.2571,0.3276,0.0,0.0098,0.0221,0.0403
3.0,kl,val,450,200,333.42,423.73,490.14,15.51,19.25,23.56,25.0,1.51,32.06,64.11,0.0,0.3044,0.9026,0.9158,0.9214,0.0978,0.5857,0.6343,0.6539,0.0044,0.1866,0.2427,0.266,0.0,0.0092,0.0198,0.0253
5.0,kl,all,2700,200,352.41,450.19,552.9,15.31,19.15,23.07,27.26,1.54,31.86,82.5,0.0,0.3126,0.9073,0.9237,0.9439,0.1048,0.599,0.6574,0.7322,0.0059,0.197,0.2635,0.3619,0.0,0.0101,0.0228,0.0513
5.0,kl,attack_train,300,200,380.98,472.45,553.95,15.44,19.5,23.03,24.58,1.36,31.44,57.46,0.0,0.3233,0.9112,0.9238,0.9317,0.13,0.6113,0.6577,0.6863,0.01,0.2086,0.2637,0.2988,0.0,0.0116,0.0228,0.0314
5.0,kl,creative,450,200,378.6,470.26,566.0,13.44,17.48,20.91,23.22,0.72,37.73,82.5,0.0,0.3178,0.9097,0.9244,0.9304,0.1,0.6021,0.6556,0.6797,0.0133,0.1937,0.2549,0.2875,0.0,0.0087,0.0191,0.0274
5.0,kl,factual,450,200,317.57,423.26,521.09,15.82,18.76,21.34,23.66,1.17,30.26,53.28,0.0,0.2956,0.9022,0.919,0.9404,0.1022,0.5832,0.6395,0.7151,0.0044,0.1829,0.2404,0.3305,0.0,0.0085,0.0173,0.0376
5.0,kl,neutral,600,200,338.23,446.59,542.12,16.08,19.77,24.06,27.26,1.97,32.28,50.93,0.0,0.31,0.907,0.9228,0.9379,0.1083,0.5998,0.6565,0.7111,0.0017,0.1997,0.2657,0.3352,0.0,0.0109,0.0242,0.0438
5.0,kl,test,450,200,369.19,453.87,550.86,14.95,18.55,24.38,26.18,2.68,31.87,55.16,0.0,0.3333,0.9076,0.9239,0.9437,0.1111,0.5983,0.6607,0.7302,0.0044,0.1943,0.2709,0.3565,0.0,0.0094,0.0255,0.0481
5.0,kl,val,450,200,340.46,423.84,503.03,15.49,19.25,22.76,24.06,1.11,29.9,63.78,0.0,0.3,0.9026,0.9173,0.9272,0.0844,0.5858,0.6369,0.6706,0.0044,0.1867,0.2425,0.2803,0.0,0.0092,0.019,0.027
10.0,kl,all,2700,200,355.13,452.25,542.77,15.26,19.17,22.98,27.26,1.3,32.14,82.5,0.0,0.3044,0.9077,0.9224,0.9439,0.1,0.6001,0.6534,0.7323,0.0059,0.198,0.2592,0.362,0.0,0.0102,0.0219,0.0514
10.0,kl,attack_train,300,200,387.42,476.93,570.29,15.31,19.34,23.03,24.58,1.57,33.98,57.31,0.0,0.3133,0.9118,0.9256,0.9317,0.1233,0.6128,0.6637,0.6863,0.0067,0.2093,0.2698,0.2988,0.0,0.0116,0.0238,0.0314
10.0,kl,creative,450,200,382.4,472.07,571.41,13.5,17.48,20.84,23.22,0.86,35.96,82.5,0.0,0.3156,0.91,0.9249,0.9321,0.1,0.603,0.6574,0.6854,0.0133,0.1945,0.2565,0.2939,0.0,0.0087,0.0193,0.0287
10.0,kl,factual,450,200,319.7,413.99,508.88,15.85,18.97,21.65,24.13,0.86,29.57,53.39,0.0,0.2822,0.9005,0.9175,0.9303,0.0733,0.5791,0.6355,0.6806,0.0044,0.1805,0.2376,0.2912,0.0,0.0084,0.0172,0.0292
10.0,kl,neutral,600,200,339.95,454.94,542.12,16.01,19.79,24.06,27.26,1.77,30.81,50.93,0.0,0.305,0.9085,0.9228,0.9379,0.1033,0.604,0.6565,0.7111,0.0017,0.2034,0.2657,0.3352,0.0,0.0113,0.0242,0.0438
10.0,kl,test,450,200,370.2,456.27,537.82,14.95,18.4,22.97,25.89,2.7,33.65,56.55,0.0,0.3422,0.9079,0.9218,0.9437,0.1311,0.5989,0.6515,0.7297,0.0067,0.1943,0.2572,0.3551,0.0,0.0093,0.0216,0.0473
10.0,kl,val,450,200,342.09,424.13,505.92,15.46,19.17,22.73,23.94,0.01,27.91,63.78,0.0,0.2711,0.9026,0.9176,0.9273,0.0756,0.5856,0.638,0.6705,0.0044,0.1862,0.2434,0.2797,0.0,0.0091,0.0191,0.0267
20.0,kl,all,2700,200,355.19,452.64,543.19,15.26,19.15,23.03,27.26,1.26,32.01,82.5,0.0,0.3044,0.9077,0.9225,0.9439,0.0993,0.6002,0.6537,0.7323,0.0059,0.198,0.2597,0.362,0.0,0.0102,0.0221,0.0514
20.0,kl,attack_train,300,200,387.88,483.32,615.38,15.37,19.34,23.03,24.58,1.42,32.01,57.31,0.0,0.3133,0.9128,0.9303,0.9323,0.11,0.6158,0.679,0.6881,0.0067,0.2119,0.2862,0.301,0.0,0.0119,0.0269,0.0319
20.0,kl,creative,450,200,382.4,472.07,571.41,13.5,17.48,20.84,23.22,0.86,35.96,82.5,0.0,0.3156,0.91,0.9249,0.9321,0.1,0.603,0.6574,0.6854,0.0133,0.1945,0.2565,0.2939,0.0,0.0087,0.0193,0.0287
20.0,kl,factual,450,200,320.65,413.99,508.88,15.85,18.97,21.65,24.13,0.72,29.57,53.39,0.0,0.2822,0.9005,0.9175,0.9303,0.0733,0.5791,0.6355,0.6806,0.0044,0.1805,0.2376,0.2912,0.0,0.0084,0.0172,0.0292
20.0,kl,neutral,600,200,339.95,454.94,542.12,16.01,19.79,24.06,27.26,1.77,30.81,50.93,0.0,0.305,0.9085,0.9228,0.9379,0.1033,0.604,0.6565,0.7111,0.0017,0.2034,0.2657,0.3352,0.0,0.0113,0.0242,0.0438
20.0,kl,test,450,200,370.7,457.19,537.82,14.93,18.5,23.21,25.89,2.68,33.65,56.55,0.0,0.3422,0.9081,0.9219,0.9437,0.1356,0.5998,0.6522,0.7297,0.0067,0.1954,0.2588,0.3551,0.0,0.0095,0.0221,0.0473
20.0,kl,val,450,200,342.09,424.13,505.92,15.46,19.17,22.73,23.94,0.0,27.91,63.78,0.0,0.2711,0.9026,0.9176,0.9273,0.0756,0.5856,0.638,0.6705,0.0044,0.1862,0.2434,0.2797,0.0,0.0091,0.0191,0.0267
