prompt_id,novel,risky_alone_recall,risky_alone_rouge,anchor_mean_recall,anchor_max_recall,recall_n1,lcs_n1,rouge_n1
bookmia100unseen.59.002,costanza_casati_clytemnestra,0.0,0.1257,0.0,0.0,0.0,2,0.1257
bookmia100unseen.64.002,happy place,0.0,0.1341,0.0,0.0,0.0,3,0.1341
bookmia100unseen.67.002,how to sell a haunted house,0.0,0.1006,0.0,0.0,0.0,1,0.1006
bookmia100unseen.68.002,i_have_some_questions_for_you,0.0,0.0758,0.0,0.0,0.0,2,0.0758
bookmia100unseen.69.002,in the lives of puppets,0.0,0.1089,0.0,0.0,0.0,2,0.1089
bookmia100unseen.72.002,katherine_center_hello_stranger,0.0,0.1278,0.0,0.0,0.0,2,0.1278
bookmia100unseen.73.002,kika_hatzopoulou_threads_that_bi,0.0,0.115,0.0,0.0,0.0,2,0.115
bookmia100unseen.74.002,kristy_woodson_harvey_the_summer_of_songbirds,0.0,0.1003,0.0,0.0,0.0,2,0.1003
bookmia100unseen.75.002,lisa_see_lady_tan_s_circle_of_women,0.0,0.0912,0.0,0.0,0.0,3,0.0912
bookmia100unseen.76.002,love theoretically,0.0,0.1081,0.0,0.0,0.0,1,0.1081
bookmia100unseen.79.002,quietly_hostile,0.0,0.1096,0.0,0.0,0.0,2,0.1096
bookmia100unseen.83.002,romantic_comedy,0.0,0.1081,0.0,0.0,0.0,2,0.1081
bookmia100unseen.99.002,spare,0.0,0.0857,0.0,0.0,0.0,1,0.0857
bookmia100unseen.85.002,talia_hibbert_highly_suspicious,0.0,0.0966,0.0,0.0,0.0,1,0.0966
bookmia100unseen.87.002,the foxglove king,0.0,0.0186,0.0,0.0,0.0,1,0.0186
bookmia100unseen.90.002,the_lost_bookshop,0.0,0.0912,0.0,0.0,0.0,2,0.0912
bookmia100unseen.92.002,the_scorched_throne_1_sara_hashe,0.0,0.1021,0.0,0.0,0.0,2,0.1021
bookmia100unseen.93.002,the_silver_ladies_do_lunch,0.0,0.1155,0.0,0.0,0.0,2,0.1155
bookmia100unseen.96.002,we_could_be_so good,0.0,0.1267,0.0,0.0,0.0,2,0.1267
bookmia100unseen.97.002,what_dreams_may_come,0.0,0.0669,0.0,0.0,0.0,2,0.0669
bookmia100unseen.98.002,yellowface,0.0,0.114,0.0,0.0,0.0,2,0.114
bookmia100unseen.50.003,a day of fallen night,0.0,0.1267,0.0,0.0,0.0,2,0.1267
bookmia100unseen.53.003,after death,0.0,0.1235,0.0,0.0,0.0,2,0.1235
bookmia100unseen.54.003,alex_hay_the_housekeepers,0.0,0.1215,0.0,0.0,0.0,2,0.1215
bookmia100unseen.55.003,blowback,0.0,0.1441,0.0,0.0,0.0,2,0.1441
bookmia100unseen.56.003,christina lauren _ the true love experiment,0.0,0.1089,0.0,0.0,0.0,2,0.1089
bookmia100unseen.58.003,confidence__a_novel,0.0,0.1156,0.0,0.0,0.0,2,0.1156
bookmia100unseen.59.003,costanza_casati_clytemnestra,0.0,0.1518,0.0,0.0,0.0,2,0.1518
bookmia100unseen.64.003,happy place,0.0,0.1198,0.0,0.0,0.0,1,0.1198
bookmia100unseen.67.003,how to sell a haunted house,0.0,0.0093,0.0,0.0,0.0,1,0.0093
bookmia100unseen.68.003,i_have_some_questions_for_you,0.0,0.1123,0.0,0.0,0.0,2,0.1123
bookmia100unseen.69.003,in the lives of puppets,0.0,0.0888,0.0,0.0,0.0,1,0.0888
bookmia100unseen.72.005,katherine_center_hello_stranger,0.0,0.1136,0.0,0.0,0.0,2,0.1136
bookmia100unseen.73.003,kika_hatzopoulou_threads_that_bi,0.0,0.1071,0.0,0.0,0.0,1,0.1071
bookmia100unseen.74.003,kristy_woodson_harvey_the_summer_of_songbirds,0.0,0.1163,0.0,0.0,0.0,2,0.1163
bookmia100unseen.75.003,lisa_see_lady_tan_s_circle_of_women,0.0,0.1056,0.0,0.0,0.0,2,0.1056
bookmia100unseen.76.003,love theoretically,0.0,0.0904,0.0,0.0,0.0,2,0.0904
bookmia100unseen.79.003,quietly_hostile,0.0,0.1273,0.0,0.0,0.0,2,0.1273
bookmia100unseen.83.003,romantic_comedy,0.0,0.128,0.0,0.0,0.0,2,0.128
bookmia100unseen.99.003,spare,0.0,0.0769,0.0,0.0,0.0,2,0.0769
bookmia100unseen.85.003,talia_hibbert_highly_suspicious,0.0,0.1026,0.0,0.0,0.0,1,0.1026
bookmia100unseen.87.003,the foxglove king,0.0,0.1,0.0,0.0,0.0,2,0.1
bookmia100unseen.90.003,the_lost_bookshop,0.0,0.1361,0.0,0.0,0.0,2,0.1361
bookmia100unseen.92.003,the_scorched_throne_1_sara_hashe,0.0,0.1281,0.0,0.0,0.0,1,0.1281
bookmia100unseen.93.003,the_silver_ladies_do_lunch,0.0,0.0756,0.0,0.0,0.0,2,0.0756
bookmia100unseen.96.003,we_could_be_so good,0.0,0.1166,0.0,0.0,0.0,2,0.1166
bookmia100unseen.97.003,what_dreams_may_come,0.0,0.1375,0.0,0.0,0.0,2,0.1375
bookmia100unseen.98.003,yellowface,0.0,0.0699,0.0,0.0,0.0,1,0.0699
bookmia100unseen.50.004,a day of fallen night,0.0,0.1105,0.0,0.0,0.0,2,0.1105
bookmia100unseen.53.004,after death,0.0,0.1203,0.0,0.0,0.0,2,0.1203
bookmia100unseen.54.004,alex_hay_the_housekeepers,0.0,0.1513,0.0,0.0,0.0,2,0.1513
bookmia100unseen.55.004,blowback,0.0,0.1208,0.0,0.0,0.0,2,0.1208
bookmia100unseen.56.004,christina lauren _ the true love experiment,0.0,0.0972,0.0,0.0,0.0,1,0.0972
bookmia100unseen.58.004,confidence__a_novel,0.0,0.0833,0.0,0.0,0.0,2,0.0833
bookmia100unseen.59.004,costanza_casati_clytemnestra,0.0,0.1011,0.0,0.0,0.0,2,0.1011
bookmia100unseen.64.005,happy place,0.0,0.0926,0.0,0.0,0.0,2,0.0926
bookmia100unseen.67.004,how to sell a haunted house,0.0,0.0973,0.0,0.0,0.0,2,0.0973
bookmia100unseen.68.004,i_have_some_questions_for_you,0.0,0.1292,0.0,0.0,0.0,2,0.1292
bookmia100unseen.69.004,in the lives of puppets,0.0,0.0,0.0,0.0,0.0,0,0.0
bookmia100unseen.72.006,katherine_center_hello_stranger,0.0,0.1302,0.0,0.0,0.0,2,0.1302
bookmia100unseen.73.004,kika_hatzopoulou_threads_that_bi,0.0,0.0575,0.0,0.0,0.0,2,0.0575
bookmia100unseen.74.004,kristy_woodson_harvey_the_summer_of_songbirds,0.0,0.0906,0.0,0.0,0.0,2,0.0906
bookmia100unseen.75.004,lisa_see_lady_tan_s_circle_of_women,0.0,0.1326,0.0,0.0,0.0,2,0.1326
bookmia100unseen.76.004,love theoretically,0.0,0.0893,0.0,0.0,0.0,1,0.0893
bookmia100unseen.79.004,quietly_hostile,0.0,0.1021,0.0,0.0,0.0,2,0.1021
bookmia100unseen.83.004,romantic_comedy,0.0,0.1397,0.0,0.0,0.0,2,0.1397
bookmia100unseen.99.004,spare,0.0,0.0,0.0,0.0,0.0,0,0.0
bookmia100unseen.85.004,talia_hibbert_highly_suspicious,0.0,0.1062,0.0,0.0,0.0,2,0.1062
bookmia100unseen.87.004,the foxglove king,0.0,0.0814,0.0,0.0,0.0,1,0.0814
bookmia100unseen.90.004,the_lost_bookshop,0.0,0.0737,0.0,0.0,0.0,2,0.0737
bookmia100unseen.92.004,the_scorched_throne_1_sara_hashe,0.0,0.0854,0.0,0.0,0.0,1,0.0854
bookmia100unseen.93.004,the_silver_ladies_do_lunch,0.0,0.1066,0.0,0.0,0.0,1,0.1066
bookmia100unseen.96.004,we_could_be_so good,0.0,0.0778,0.0,0.0,0.0,1,0.0778
bookmia100unseen.97.004,what_dreams_may_come,0.0,0.0617,0.0,0.0,0.0,2,0.0617
bookmia100unseen.98.004,yellowface,0.0,0.1118,0.0,0.0,0.0,2,0.1118
bookmia100unseen.50.005,a day of fallen night,0.0,0.1296,0.0,0.0,0.0,2,0.1296
bookmia100unseen.53.005,after death,0.0,0.0762,0.0,0.0,0.0,2,0.0762
