n,kl_nats,n_passages,nv_recall_mean,nv_recall_max,lcs_word_mean,ge_0p01_pct
1,0.0,100,0.0,0.0,1.98,0.0
8,1.2044,100,0.0,0.0,2.02,0.0
64,3.1745,100,0.0,0.0,1.81,0.0
-1,,100,0.3925,0.8154,,78.0
