arm,prompt_id,n_facts,n_supported,precision,abstained
d00,fact_00003_Fernando da Costa Novaes,9,0,0.0,0
d01,fact_00003_Fernando da Costa Novaes,0,0,,1
d02,fact_00003_Fernando da Costa Novaes,0,0,,1
d03,fact_00003_Fernando da Costa Novaes,0,0,,1
d04,fact_00003_Fernando da Costa Novaes,0,0,,1
d05,fact_00003_Fernando da Costa Novaes,2,0,0.0,0
d06,fact_00003_Fernando da Costa Novaes,0,0,,1
d07,fact_00003_Fernando da Costa Novaes,3,0,0.0,0
d08,fact_00003_Fernando da Costa Novaes,0,0,,1
d09,fact_00003_Fernando da Costa Novaes,0,0,,1
d10,fact_00003_Fernando da Costa Novaes,0,0,,1
d11,fact_00003_Fernando da Costa Novaes,0,0,,1
d12,fact_00003_Fernando da Costa Novaes,0,0,,1
d13,fact_00003_Fernando da Costa Novaes,3,0,0.0,0
d14,fact_00003_Fernando da Costa Novaes,15,2,0.133333,0
d15,fact_00003_Fernando da Costa Novaes,0,0,,1
d16,fact_00003_Fernando da Costa Novaes,8,0,0.0,0
d17,fact_00003_Fernando da Costa Novaes,5,0,0.0,0
d18,fact_00003_Fernando da Costa Novaes,4,0,0.0,0
d19,fact_00003_Fernando da Costa Novaes,0,0,,1
d20,fact_00003_Fernando da Costa Novaes,7,0,0.0,0
d21,fact_00003_Fernando da Costa Novaes,0,0,,1
d22,fact_00003_Fernando da Costa Novaes,6,0,0.0,0
d23,fact_00003_Fernando da Costa Novaes,5,0,0.0,0
d24,fact_00003_Fernando da Costa Novaes,5,1,0.2,0
d25,fact_00003_Fernando da Costa Novaes,9,0,0.0,0
d26,fact_00003_Fernando da Costa Novaes,6,0,0.0,0
d27,fact_00003_Fernando da Costa Novaes,0,0,,1
d28,fact_00003_Fernando da Costa Novaes,0,0,,1
d29,fact_00003_Fernando da Costa Novaes,0,0,,1
d30,fact_00003_Fernando da Costa Novaes,2,0,0.0,0
d31,fact_00003_Fernando da Costa Novaes,3,0,0.0,0
d32,fact_00003_Fernando da Costa Novaes,1,0,0.0,0
d33,fact_00003_Fernando da Costa Novaes,12,0,0.0,0
d34,fact_00003_Fernando da Costa Novaes,0,0,,1
d35,fact_00003_Fernando da Costa Novaes,0,0,,1
d36,fact_00003_Fernando da Costa Novaes,0,0,,1
d37,fact_00003_Fernando da Costa Novaes,3,0,0.0,0
d38,fact_00003_Fernando da Costa Novaes,0,0,,1
d39,fact_00003_Fernando da Costa Novaes,0,0,,1
d40,fact_00003_Fernando da Costa Novaes,2,0,0.0,0
d41,fact_00003_Fernando da Costa Novaes,1,0,0.0,0
d42,fact_00003_Fernando da Costa Novaes,0,0,,1
d43,fact_00003_Fernando da Costa Novaes,0,0,,1
d44,fact_00003_Fernando da Costa Novaes,0,0,,1
d45,fact_00003_Fernando da Costa Novaes,0,0,,1
d46,fact_00003_Fernando da Costa Novaes,0,0,,1
d47,fact_00003_Fernando da Costa Novaes,0,0,,1
d48,fact_00003_Fernando da Costa Novaes,5,1,0.2,0
d49,fact_00003_Fernando da Costa Novaes,0,0,,1
d50,fact_00003_Fernando da Costa Novaes,0,0,,1
d51,fact_00003_Fernando da Costa Novaes,0,0,,1
d52,fact_00003_Fernando da Costa Novaes,0,0,,1
d53,fact_00003_Fernando da Costa Novaes,2,1,0.5,0
d54,fact_00003_Fernando da Costa Novaes,0,0,,1
d55,fact_00003_Fernando da Costa Novaes,12,0,0.0,0
d56,fact_00003_Fernando da Costa Novaes,0,0,,1
d57,fact_00003_Fernando da Costa Novaes,19,0,0.0,0
d58,fact_00003_Fernando da Costa Novaes,0,0,,1
d59,fact_00003_Fernando da Costa Novaes,8,0,0.0,0
d60,fact_00003_Fernando da Costa Novaes,0,0,,1
d61,fact_00003_Fernando da Costa Novaes,6,0,0.0,0
d62,fact_00003_Fernando da Costa Novaes,0,0,,1
d63,fact_00003_Fernando da Costa Novaes,3,0,0.0,0
d00,fact_00006_David Galloway (writer),5,0,0.0,0
d01,fact_00006_David Galloway (writer),0,0,,1
d02,fact_00006_David Galloway (writer),7,0,0.0,0
d03,fact_00006_David Galloway (writer),0,0,,1
d04,fact_00006_David Galloway (writer),0,0,,1
d05,fact_00006_David Galloway (writer),7,1,0.142857,0
d06,fact_00006_David Galloway (writer),3,0,0.0,0
d07,fact_00006_David Galloway (writer),0,0,,1
d08,fact_00006_David Galloway (writer),0,0,,1
d09,fact_00006_David Galloway (writer),6,1,0.166667,0
d10,fact_00006_David Galloway (writer),1,1,1.0,0
d11,fact_00006_David Galloway (writer),7,0,0.0,0
d12,fact_00006_David Galloway (writer),0,0,,1
d13,fact_00006_David Galloway (writer),9,0,0.0,0
d14,fact_00006_David Galloway (writer),10,1,0.1,0
d15,fact_00006_David Galloway (writer),0,0,,1
d16,fact_00006_David Galloway (writer),6,2,0.333333,0
d17,fact_00006_David Galloway (writer),3,0,0.0,0
d18,fact_00006_David Galloway (writer),2,0,0.0,0
d19,fact_00006_David Galloway (writer),6,0,0.0,0
d20,fact_00006_David Galloway (writer),9,0,0.0,0
d21,fact_00006_David Galloway (writer),11,0,0.0,0
d22,fact_00006_David Galloway (writer),6,1,0.166667,0
d23,fact_00006_David Galloway (writer),11,2,0.181818,0
d24,fact_00006_David Galloway (writer),0,0,,1
d25,fact_00006_David Galloway (writer),14,0,0.0,0
d26,fact_00006_David Galloway (writer),0,0,,1
d27,fact_00006_David Galloway (writer),0,0,,1
d28,fact_00006_David Galloway (writer),10,0,0.0,0
d29,fact_00006_David Galloway (writer),0,0,,1
d30,fact_00006_David Galloway (writer),9,1,0.111111,0
d31,fact_00006_David Galloway (writer),0,0,,1
d32,fact_00006_David Galloway (writer),5,0,0.0,0
d33,fact_00006_David Galloway (writer),0,0,,1
d34,fact_00006_David Galloway (writer),0,0,,1
d35,fact_00006_David Galloway (writer),3,0,0.0,0
d36,fact_00006_David Galloway (writer),10,1,0.1,0
d37,fact_00006_David Galloway (writer),0,0,,1
d38,fact_00006_David Galloway (writer),6,2,0.333333,0
d39,fact_00006_David Galloway (writer),4,1,0.25,0
d40,fact_00006_David Galloway (writer),2,0,0.0,0
d41,fact_00006_David Galloway (writer),0,0,,1
d42,fact_00006_David Galloway (writer),0,0,,1
d43,fact_00006_David Galloway (writer),0,0,,1
d44,fact_00006_David Galloway (writer),0,0,,1
d45,fact_00006_David Galloway (writer),12,0,0.0,0
d46,fact_00006_David Galloway (writer),11,0,0.0,0
d47,fact_00006_David Galloway (writer),7,2,0.285714,0
d48,fact_00006_David Galloway (writer),8,0,0.0,0
d49,fact_00006_David Galloway (writer),0,0,,1
d50,fact_00006_David Galloway (writer),2,0,0.0,0
d51,fact_00006_David Galloway (writer),0,0,,1
d52,fact_00006_David Galloway (writer),6,1,0.166667,0
d53,fact_00006_David Galloway (writer),9,0,0.0,0
d54,fact_00006_David Galloway (writer),6,2,0.333333,0
d55,fact_00006_David Galloway (writer),4,0,0.0,0
d56,fact_00006_David Galloway (writer),4,0,0.0,0
d57,fact_00006_David Galloway (writer),9,1,0.111111,0
d58,fact_00006_David Galloway (writer),8,2,0.25,0
d59,fact_00006_David Galloway (writer),3,1,0.333333,0
d60,fact_00006_David Galloway (writer),0,0,,1
d61,fact_00006_David Galloway (writer),12,1,0.083333,0
d62,fact_00006_David Galloway (writer),0,0,,1
d63,fact_00006_David Galloway (writer),0,0,,1
d00,fact_00007_Cheyenne Brando,7,0,0.0,0
d01,fact_00007_Cheyenne Brando,4,0,0.0,0
d02,fact_00007_Cheyenne Brando,3,0,0.0,0
d03,fact_00007_Cheyenne Brando,3,0,0.0,0
d04,fact_00007_Cheyenne Brando,16,0,0.0,0
d05,fact_00007_Cheyenne Brando,15,0,0.0,0
d06,fact_00007_Cheyenne Brando,7,1,0.142857,0
d07,fact_00007_Cheyenne Brando,13,1,0.076923,0
d08,fact_00007_Cheyenne Brando,0,0,,1
d09,fact_00007_Cheyenne Brando,4,0,0.0,0
d10,fact_00007_Cheyenne Brando,15,0,0.0,0
d11,fact_00007_Cheyenne Brando,25,0,0.0,0
d12,fact_00007_Cheyenne Brando,7,0,0.0,0
d13,fact_00007_Cheyenne Brando,6,0,0.0,0
d14,fact_00007_Cheyenne Brando,4,0,0.0,0
d15,fact_00007_Cheyenne Brando,0,0,,1
d16,fact_00007_Cheyenne Brando,7,0,0.0,0
d17,fact_00007_Cheyenne Brando,15,0,0.0,0
d18,fact_00007_Cheyenne Brando,9,1,0.111111,0
d19,fact_00007_Cheyenne Brando,6,0,0.0,0
d20,fact_00007_Cheyenne Brando,0,0,,1
d21,fact_00007_Cheyenne Brando,3,0,0.0,0
d22,fact_00007_Cheyenne Brando,4,0,0.0,0
d23,fact_00007_Cheyenne Brando,5,0,0.0,0
