source,k,split,n,window,burst_ratio_median,burst_ratio_p90,burst_ratio_p99,burst_ratio_max,pct_burst_gt_2x,pct_burst_gt_5x,bank_max_median,bank_max_p90,bank_max_max,mean_spend_over_k
sweep_chat,0.5,val,450,20,1.068,1.274,2.065,4.474,1.56,0.0,1.89,90.35,94.54,0.919
sweep_plain,0.5,val,450,20,1.198,1.404,1.8,3.003,0.67,0.0,2.31,7.25,95.16,0.943
h1_outputs,1.0,all,8340,20,1.266,1.66,2.203,3.37,2.39,0.0,37.73,74.17,191.59,0.801
sweep_chat,1.0,all,2700,20,1.154,1.539,2.107,2.545,1.37,0.0,78.11,182.2,194.56,0.577
sweep_plain,1.0,all,2700,20,1.238,1.662,2.312,3.531,2.26,0.0,41.8,98.28,198.56,0.781
h1_outputs,1.0,attack_train,997,20,1.293,1.684,2.203,2.874,2.51,0.0,32.18,65.4,171.07,0.829
sweep_chat,1.0,attack_train,300,20,1.153,1.498,1.96,2.143,0.67,0.0,75.0,173.77,194.02,0.589
sweep_plain,1.0,attack_train,300,20,1.267,1.685,2.054,2.312,1.67,0.0,34.15,70.82,195.49,0.812
h1_outputs,1.0,creative,1312,20,1.231,1.544,2.01,2.868,1.14,0.0,30.63,61.81,130.41,0.837
sweep_chat,1.0,creative,450,20,1.123,1.543,2.233,2.405,3.11,0.0,93.68,190.0,194.56,0.497
sweep_plain,1.0,creative,450,20,1.207,1.508,2.108,2.868,1.56,0.0,36.42,196.51,197.99,0.813
h1_outputs,1.0,factual,1478,20,1.267,1.659,2.172,2.996,2.91,0.0,42.22,77.64,126.1,0.783
sweep_chat,1.0,factual,450,20,1.151,1.557,1.999,2.545,1.11,0.0,100.18,184.53,194.55,0.464
sweep_plain,1.0,factual,450,20,1.257,1.676,2.164,3.104,2.44,0.0,42.93,77.09,197.18,0.776
h1_outputs,1.0,neutral,1557,20,1.239,1.609,2.059,3.0,1.48,0.0,44.0,80.92,140.59,0.778
sweep_chat,1.0,neutral,600,20,1.198,1.581,1.98,2.143,0.83,0.0,46.34,178.65,194.56,0.757
sweep_plain,1.0,neutral,600,20,1.159,1.562,2.059,2.804,1.17,0.0,53.23,197.81,198.56,0.728
h1_outputs,1.0,test,1497,20,1.303,1.703,2.259,2.799,2.27,0.0,33.14,66.29,161.71,0.822
sweep_chat,1.0,test,450,20,1.15,1.535,2.052,2.329,1.33,0.0,82.56,179.63,194.35,0.546
sweep_plain,1.0,test,450,20,1.322,1.721,2.715,3.459,3.11,0.0,32.79,65.13,193.48,0.831
h1_outputs,1.0,val,1499,20,1.26,1.731,2.433,3.37,3.94,0.0,46.15,79.11,191.59,0.754
sweep_chat,1.0,val,450,20,1.148,1.471,1.899,2.264,1.11,0.0,92.85,184.0,194.54,0.499
sweep_plain,1.0,val,450,20,1.248,1.746,2.426,3.531,3.78,0.0,48.22,82.63,194.1,0.75
h1_outputs,3.0,all,8775,20,0.476,0.682,1.12,1.973,0.0,0.0,427.85,470.37,597.0,0.28
h1_outputs,3.0,attack_train,998,20,0.5,0.711,1.212,1.43,0.0,0.0,415.55,462.85,571.31,0.297
h1_outputs,3.0,creative,1387,20,0.486,0.688,1.138,1.386,0.0,0.0,417.54,453.76,596.85,0.298
h1_outputs,3.0,factual,1478,20,0.478,0.683,1.016,1.391,0.0,0.0,434.59,474.29,541.49,0.269
h1_outputs,3.0,neutral,1916,20,0.461,0.68,1.08,1.441,0.0,0.0,435.08,477.33,597.0,0.27
h1_outputs,3.0,test,1497,20,0.483,0.691,1.127,1.371,0.0,0.0,420.71,460.65,565.66,0.29
h1_outputs,3.0,val,1499,20,0.451,0.657,1.061,1.973,0.0,0.0,438.49,475.23,581.37,0.261
h1_outputs,5.0,all,8970,20,0.286,0.413,0.666,1.184,0.0,0.0,826.27,868.88,980.55,0.169
h1_outputs,5.0,attack_train,998,20,0.301,0.434,0.721,0.816,0.0,0.0,815.08,861.44,970.87,0.179
h1_outputs,5.0,creative,1485,20,0.29,0.406,0.643,0.832,0.0,0.0,815.77,852.82,926.11,0.181
h1_outputs,5.0,factual,1496,20,0.289,0.415,0.569,0.776,0.0,0.0,832.16,873.89,941.49,0.164
h1_outputs,5.0,neutral,1994,20,0.28,0.411,0.665,1.076,0.0,0.0,834.02,874.81,938.03,0.163
h1_outputs,5.0,test,1497,20,0.29,0.415,0.678,0.792,0.0,0.0,819.28,861.8,959.66,0.175
h1_outputs,5.0,val,1500,20,0.272,0.404,0.659,1.184,0.0,0.0,836.39,875.08,980.55,0.158
