risky_model,risky_kind,corpus,n_novels,novels_margin_up,sign_test_p,median_lift,margin_small,margin_large
Llama-3.1-8B-Instruct,instruct,commoncorpus,16,16,3.0517578125e-05,1.2071734499765499,3.452821263135447,4.219568695255893
Llama-3.1-8B-Instruct,instruct,commonpile,16,16,3.0517578125e-05,1.2308613122718555,4.112581730111818,5.018248753862633
Llama-3.1-8B-Instruct,instruct,kl3m,16,16,3.0517578125e-05,1.2195883134294707,1.9481797952237252,2.3688885664233936
Qwen2.5-7B-Instruct,instruct,commoncorpus,16,16,3.0517578125e-05,1.1540430700099176,3.062410151527801,3.5777472957878276
Qwen2.5-7B-Instruct,instruct,commonpile,16,16,3.0517578125e-05,1.284922929135551,3.82715756887885,4.875082215948866
Qwen2.5-7B-Instruct,instruct,kl3m,16,16,3.0517578125e-05,1.1737436103135448,1.7976160995060264,2.10364538918235
Llama-3.2-1B,base,commoncorpus,16,16,3.0517578125e-05,1.380680159216347,5.712806576275207,7.984852406042146
Llama-3.2-1B,base,commonpile,16,16,3.0517578125e-05,1.2552494736394602,8.626601402873412,10.734907381027261
Llama-3.2-1B,base,kl3m,16,16,3.0517578125e-05,1.2988995066218063,2.936323498620365,3.8026100813713812
