model,id,split,novel,n_tok,n_char,total_nats,s_rate,k_crit,uncertified_width,nats_per_tok
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.17.26,test,harry_potter_and_the_sorcerer's_stone,67,262,252.26447913189259,0.9628415234041702,5.153622150421143,5.352513394104854,3.7651414795804863
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.17.28,test,harry_potter_and_the_sorcerer's_stone,56,260,205.7822221063609,0.791470085024465,5.198474884033203,6.568125545607341,3.6746825376135877
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.17.31,test,harry_potter_and_the_sorcerer's_stone,79,311,318.69836264004334,1.0247535776207182,6.537807464599609,6.379882546767144,4.034156489114473
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.17.32,test,harry_potter_and_the_sorcerer's_stone,63,226,246.47696370468475,1.0906060340915253,3.540971374511719,3.2467923923246467,3.9123327572172184
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.17.33,test,harry_potter_and_the_sorcerer's_stone,67,273,203.02541480207776,0.743682838102849,6.301294326782227,8.47309364144662,3.0302300716728023
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.17.35,test,harry_potter_and_the_sorcerer's_stone,72,275,233.05739642157528,0.847481441533001,2.4366519927978514,2.875168556364155,3.23690828363299
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.17.38,test,harry_potter_and_the_sorcerer's_stone,69,279,230.3535060442664,0.8256398066102738,1.4013185525248044,1.697251684457927,3.3384566093371943
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.17.41,test,harry_potter_and_the_sorcerer's_stone,62,291,280.22531481157057,0.9629735904177683,10.422016143798828,10.822743476565572,4.519763142122106
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.17.42,test,harry_potter_and_the_sorcerer's_stone,59,262,156.03520161967026,0.59555420465523,1.5205953121185303,2.553244188744855,2.644664434231699
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.17.45,test,harry_potter_and_the_sorcerer's_stone,65,248,209.5445922696797,0.84493787205516,6.0198211669921875,7.1245725467957195,3.2237629579950724
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.17.49,test,harry_potter_and_the_sorcerer's_stone,75,290,308.72768568970787,1.064578226516234,3.9354843139648437,3.6967544666430676,4.116369142529439
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.17.51,test,harry_potter_and_the_sorcerer's_stone,64,244,167.7655434779267,0.6875637027783882,5.879241943359375,8.550832336846526,2.621336616842605
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.17.55,test,harry_potter_and_the_sorcerer's_stone,57,276,166.0984498354236,0.6018059776645782,10.706722259521484,17.79098689094273,2.9140078918495367
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.17.58,test,harry_potter_and_the_sorcerer's_stone,56,267,207.986768005474,0.7789766591965318,5.114490032196045,6.565652477278764,3.7140494286691785
jacquelinehe/tinycomma-1.8b-llama3-tokenizer,bookmia.17.62,test,harry_potter_and_the_sorcerer's_stone,64,251,227.7625813538907,0.9074206428441861,9.210294723510742,10.149972668290122,3.5587903336545423
