prompt_id,novel,n_target,delta_init,S_total,s_mean,s_std,s_max,s_p90,k_crit,k_crit_eta,feasible_k0.15,feasible_eta_k0.15,pred_frac_k0.15,paid_frac_k0.15,forced_open_k0.15,recall_k0.15,feasible_k0.5,feasible_eta_k0.5,pred_frac_k0.5,paid_frac_k0.5,forced_open_k0.5,recall_k0.5,feasible_k1,feasible_eta_k1,pred_frac_k1,paid_frac_k1,forced_open_k1,recall_k1,feasible_k3,feasible_eta_k3,pred_frac_k3,paid_frac_k3,forced_open_k3,recall_k3,feasible_k5,feasible_eta_k5,pred_frac_k5,paid_frac_k5,forced_open_k5,recall_k5,feasible_k10,feasible_eta_k10,pred_frac_k10,paid_frac_k10,forced_open_k10,recall_k10,feasible_k20,feasible_eta_k20,pred_frac_k20,paid_frac_k20,forced_open_k20,recall_k20
bookmia.01.10,a_game_of_thrones,305,7.481,734.99,2.4098,2.4695,12.794,5.892,16.0477,14.4979,0,0,0.0,0.1902,50,0.0,0,0,0.0,0.3246,17,0.0,0,0,0.0,0.4787,12,0.0,0,0,0.9607,0.977,3,0.0,0,0,0.9934,0.9934,2,0.0,0,0,0.9967,0.9967,1,0.9951,1,1,1.0,1.0,0,0.9951
bookmia.01.11,a_game_of_thrones,299,7.872,591.38,1.9778,2.3781,13.6,5.205,9.8402,8.9503,0,0,0.0,0.2475,53,0.0,0,0,0.0,0.4013,16,0.0,0,0,0.0,0.5686,9,0.0,0,0,0.9465,0.9866,2,0.0,0,0,0.9967,0.9967,1,0.0,1,1,1.0,1.0,0,1.0,1,1,1.0,1.0,0,1.0
bookmia.01.12,a_game_of_thrones,319,7.844,759.09,2.3796,2.5986,15.419,6.139,9.7727,8.8867,0,0,0.0,0.1912,62,0.0,0,0,0.0,0.3542,17,0.0,0,0,0.0,0.5078,9,0.0,0,0,0.9624,0.9749,5,0.0,0,0,0.9843,0.9906,2,0.0,1,1,1.0,1.0,0,1.0,1,1,1.0,1.0,0,1.0
bookmia.01.14,a_game_of_thrones,291,9.43,696.5,2.3935,2.5238,17.785,5.986,9.657,8.9411,0,0,0.0,0.1615,64,0.0,0,0,0.0,0.2955,21,0.0,0,0,0.0,0.4639,13,0.0,0,0,0.8866,0.9622,4,0.0,0,0,0.9863,0.9897,2,0.0,1,1,1.0,1.0,0,1.0,1,1,1.0,1.0,0,1.0
bookmia.01.20,a_game_of_thrones,328,9.416,727.25,2.2172,2.498,11.215,5.869,9.5436,8.8377,0,0,0.0,0.2317,62,0.0,0,0,0.0,0.3811,22,0.0,0,0,0.0,0.564,13,0.0,0,0,0.9634,0.9665,6,0.0,0,0,0.997,0.997,1,0.5637,1,1,1.0,1.0,0,0.5637,1,1,1.0,1.0,0,0.5637
bookmia.01.22,a_game_of_thrones,312,8.136,760.6,2.4378,2.6274,11.877,6.144,9.9838,9.1058,0,0,0.0,0.2115,56,0.0,0,0,0.0,0.3462,19,0.0,0,0,0.0,0.4968,19,0.0,0,0,0.9423,0.9647,2,0.0,0,0,0.9968,0.9968,1,0.9704,1,1,1.0,1.0,0,0.9704,1,1,1.0,1.0,0,0.9704
bookmia.01.23,a_game_of_thrones,288,7.781,708.1,2.4587,2.3401,11.126,5.861,10.7427,9.7534,0,0,0.0,0.1493,51,0.0,0,0,0.0,0.2778,17,0.0,0,0,0.0,0.4236,12,0.0,0,0,0.9931,0.9931,2,0.0,0,0,0.9965,0.9965,1,0.0,0,1,0.9965,0.9965,1,0.0,1,1,1.0,1.0,0,0.0
bookmia.01.26,a_game_of_thrones,298,8.334,696.5,2.3372,2.6297,16.54,5.808,10.6362,9.7128,0,0,0.0,0.1678,63,0.0,0,0,0.0,0.3255,18,0.0,0,0,0.0,0.4866,10,0.0,0,0,0.906,0.9799,2,0.0,0,0,0.9933,0.9933,2,0.645,0,1,0.9966,0.9966,1,0.94,1,1,1.0,1.0,0,0.94
bookmia.01.27,a_game_of_thrones,285,8.317,698.3,2.4502,2.4839,13.413,6.124,14.4415,13.1359,0,0,0.0,0.1474,61,0.0,0,0,0.0,0.2772,16,0.0,0,0,0.0,0.4491,14,0.0,0,0,0.9439,0.9719,4,0.0,0,0,0.993,0.993,2,0.0,0,0,0.9965,0.9965,1,0.0,1,1,1.0,1.0,0,1.0
bookmia.01.31,a_game_of_thrones,289,7.678,697.81,2.4146,2.7081,15.779,5.82,11.3408,10.2813,0,0,0.0,0.1869,51,0.0,0,0,0.0,0.3356,17,0.0,0,0,0.0,0.4844,7,0.0,0,0,0.955,0.9723,2,0.0,0,0,0.9931,0.9931,2,0.0,0,0,0.9965,0.9965,1,0.9082,1,1,1.0,1.0,0,0.9082
