source,k,split,L_over_K
released,1.0,attack_train,0.93464
released,1.0,attack_train,0.91861
released,1.0,attack_train,0.88105
released,1.0,attack_train,0.2334
released,1.0,attack_train,0.89222
released,1.0,attack_train,0.54183
released,1.0,attack_train,0.81946
released,1.0,attack_train,0.80648
released,1.0,attack_train,0.94503
released,1.0,attack_train,0.65001
released,1.0,attack_train,0.12922
released,1.0,attack_train,0.63523
released,1.0,attack_train,0.57981
released,1.0,attack_train,0.77702
released,1.0,attack_train,0.53655
released,1.0,attack_train,0.77255
released,1.0,attack_train,0.90335
released,1.0,attack_train,0.65432
released,1.0,attack_train,0.86173
released,1.0,attack_train,0.56962
released,1.0,attack_train,0.67848
released,1.0,attack_train,0.7487
released,1.0,attack_train,0.79113
released,1.0,attack_train,0.8668
released,1.0,attack_train,0.8086
released,1.0,attack_train,0.88072
released,1.0,attack_train,0.70159
released,1.0,attack_train,0.83664
released,1.0,attack_train,0.96135
released,1.0,attack_train,0.73944
released,1.0,attack_train,0.66464
released,1.0,attack_train,0.65406
released,1.0,attack_train,0.8795
released,1.0,attack_train,0.85968
released,1.0,attack_train,0.68854
released,1.0,attack_train,0.53102
released,1.0,attack_train,0.69031
released,1.0,attack_train,0.90854
released,1.0,attack_train,0.66692
released,1.0,attack_train,0.76754
released,1.0,attack_train,0.74804
released,1.0,attack_train,0.85485
released,1.0,attack_train,0.85414
released,1.0,attack_train,0.59516
released,1.0,attack_train,0.80609
released,1.0,attack_train,0.85392
released,1.0,attack_train,0.87728
released,1.0,attack_train,0.79464
released,1.0,attack_train,0.71442
released,1.0,attack_train,0.69816
released,1.0,attack_train,0.7454
released,1.0,attack_train,0.80141
released,1.0,attack_train,1.05191
released,1.0,attack_train,0.93713
released,1.0,attack_train,0.75077
released,1.0,attack_train,0.42943
released,1.0,attack_train,0.68814
released,1.0,attack_train,0.67406
released,1.0,attack_train,0.63983
released,1.0,attack_train,0.56955
released,1.0,attack_train,0.72657
released,1.0,attack_train,0.83547
released,1.0,attack_train,0.97073
released,1.0,attack_train,0.66587
released,1.0,attack_train,0.73278
released,1.0,attack_train,0.62339
released,1.0,attack_train,0.883
released,1.0,attack_train,0.36764
released,1.0,attack_train,0.37158
released,1.0,attack_train,0.80296
released,1.0,attack_train,0.65678
released,1.0,attack_train,0.96194
released,1.0,attack_train,0.61961
released,1.0,attack_train,0.77409
released,1.0,attack_train,0.62711
released,1.0,attack_train,1.09853
released,1.0,attack_train,0.61942
released,1.0,attack_train,0.6614
released,1.0,attack_train,0.9629
released,1.0,attack_train,0.78829
released,1.0,attack_train,0.96369
released,1.0,attack_train,0.89886
released,1.0,attack_train,0.91713
released,1.0,attack_train,0.94081
released,1.0,attack_train,0.882
released,1.0,attack_train,0.87029
released,1.0,attack_train,0.9064
released,1.0,attack_train,0.75627
released,1.0,attack_train,0.82899
released,1.0,attack_train,0.72673
released,1.0,attack_train,0.76158
released,1.0,attack_train,0.92631
released,1.0,attack_train,0.78893
released,1.0,attack_train,0.97359
released,1.0,attack_train,0.88905
released,1.0,attack_train,0.92058
released,1.0,attack_train,0.85113
released,1.0,attack_train,0.84223
released,1.0,attack_train,0.74757
released,1.0,attack_train,1.04395
released,1.0,attack_train,0.89165
released,1.0,attack_train,0.93078
released,1.0,attack_train,0.88792
released,1.0,attack_train,0.90785
released,1.0,attack_train,0.0
released,1.0,attack_train,0.95782
released,1.0,attack_train,0.75474
released,1.0,attack_train,0.90667
released,1.0,attack_train,0.72828
released,1.0,attack_train,0.83393
released,1.0,attack_train,0.57858
released,1.0,attack_train,0.62934
released,1.0,attack_train,0.76969
released,1.0,attack_train,0.8896
released,1.0,attack_train,0.86223
released,1.0,attack_train,0.95379
released,1.0,attack_train,0.93089
released,1.0,attack_train,0.73051
released,1.0,attack_train,1.05858
released,1.0,attack_train,0.67519
released,1.0,attack_train,0.80783
released,1.0,attack_train,1.04057
released,1.0,attack_train,0.93491
released,1.0,attack_train,0.74375
released,1.0,attack_train,0.84693
released,1.0,attack_train,1.05487
released,1.0,attack_train,1.0061
released,1.0,attack_train,0.94519
released,1.0,attack_train,0.60341
released,1.0,attack_train,0.83478
released,1.0,attack_train,0.84454
released,1.0,attack_train,0.65487
released,1.0,attack_train,0.95279
released,1.0,attack_train,0.87909
released,1.0,attack_train,0.7828
released,1.0,attack_train,0.376
released,1.0,attack_train,0.88602
released,1.0,attack_train,0.90388
released,1.0,attack_train,0.84418
released,1.0,attack_train,0.9218
released,1.0,attack_train,0.98107
released,1.0,attack_train,0.86644
released,1.0,attack_train,0.87922
released,1.0,attack_train,0.68898
released,1.0,attack_train,1.0468
released,1.0,attack_train,0.94613
released,1.0,attack_train,0.5977
released,1.0,attack_train,1.16185
released,1.0,attack_train,0.82312
released,1.0,attack_train,0.50653
released,1.0,attack_train,0.83689
released,1.0,attack_train,0.78091
released,1.0,attack_train,0.23337
released,1.0,attack_train,0.91625
released,1.0,attack_train,1.06078
released,1.0,attack_train,0.89696
released,1.0,attack_train,0.89975
released,1.0,attack_train,1.0345
released,1.0,attack_train,1.10548
released,1.0,attack_train,0.73977
released,1.0,attack_train,0.93896
released,1.0,attack_train,0.87927
released,1.0,attack_train,0.90348
released,1.0,attack_train,0.78083
released,1.0,attack_train,0.99454
released,1.0,attack_train,0.93083
released,1.0,attack_train,0.67804
released,1.0,attack_train,0.88575
released,1.0,attack_train,0.81223
released,1.0,attack_train,0.86134
released,1.0,attack_train,1.1543
released,1.0,attack_train,0.81126
released,1.0,attack_train,0.91542
released,1.0,attack_train,0.67888
released,1.0,attack_train,0.88764
released,1.0,attack_train,0.74294
released,1.0,attack_train,0.7961
released,1.0,attack_train,0.80294
released,1.0,attack_train,1.09504
