constraint,k,L,windows,attempts_total,windows_matched_pct,empirical_success_per_attempt,bound_success_prob_mean,surplus_median,surplus_positive_pct,attempts_to_match_median,bound_expected_attempts_median,windows_matched_with_positive_surplus
pathwise,2.0,50,297,2376,0.0,0.0,0.1482,53.93,85.2,,1000000000.0,0
pathwise,3.0,50,297,2376,0.0,0.0,0.4679,3.93,54.2,,50.8,0
