run,metric,primary,threshold,s_x,onset,ci_lo,ci_hi,ratio,ratio_lo,ratio_hi,boot_no_crossing_pct
"Phi-3.5-mini (32011 vocab, 3.78 chars/token)",lcs_word,True,4.0,2.8374,2.6272,2.2027,3.0155,0.9259,0.7763,1.0628,0.0
"Phi-3.5-mini (32011 vocab, 3.78 chars/token)",nv_recall,False,0.01,2.8374,2.6276,2.2659,3.0792,0.9261,0.7986,1.0852,0.0
"KL3M-520M (32768 vocab, 1.98 chars/token)",lcs_word,True,4.0,2.4147,2.4923,2.4313,2.9603,1.0321,1.0068,1.2259,0.0
"KL3M-520M (32768 vocab, 1.98 chars/token)",nv_recall,False,0.01,2.4147,2.5432,2.4541,3.0031,1.0532,1.0163,1.2436,0.0
